week_start,channel,spend_eur,impressions,platform_conversions,platform_revenue_eur
2022-01-03,tv,0,,,
2022-01-10,tv,0,,,
2022-01-17,tv,0,,,
2022-01-24,tv,0,,,
2022-01-31,tv,0,,,
2022-02-07,tv,0,,,
2022-02-14,tv,0,,,
2022-02-21,tv,0,,,
2022-02-28,tv,0,,,
2022-03-07,tv,8413,,,
2022-03-14,tv,7482,,,
2022-03-21,tv,0,,,
2022-03-28,tv,0,,,
2022-04-04,tv,0,,,
2022-04-11,tv,0,,,
2022-04-18,tv,6963,,,
2022-04-25,tv,7934,,,
2022-05-02,tv,0,,,
2022-05-09,tv,0,,,
2022-05-16,tv,0,,,
2022-05-23,tv,0,,,
2022-05-30,tv,8512,,,
2022-06-06,tv,8116,,,
2022-06-13,tv,0,,,
2022-06-20,tv,0,,,
2022-06-27,tv,0,,,
2022-07-04,tv,0,,,
2022-07-11,tv,0,,,
2022-07-18,tv,0,,,
2022-07-25,tv,0,,,
2022-08-01,tv,0,,,
2022-08-08,tv,0,,,
2022-08-15,tv,0,,,
2022-08-22,tv,0,,,
2022-08-29,tv,0,,,
2022-09-05,tv,8786,,,
2022-09-12,tv,8146,,,
2022-09-19,tv,0,,,
2022-09-26,tv,0,,,
2022-10-03,tv,0,,,
2022-10-10,tv,0,,,
2022-10-17,tv,0,,,
2022-10-24,tv,0,,,
2022-10-31,tv,0,,,
2022-11-07,tv,0,,,
2022-11-14,tv,0,,,
2022-11-21,tv,7096,,,
2022-11-28,tv,7368,,,
2022-12-05,tv,0,,,
2022-12-12,tv,8540,,,
2022-12-19,tv,8875,,,
2022-12-26,tv,0,,,
2023-01-02,tv,0,,,
2023-01-09,tv,0,,,
2023-01-16,tv,0,,,
2023-01-23,tv,0,,,
2023-01-30,tv,0,,,
2023-02-06,tv,0,,,
2023-02-13,tv,0,,,
2023-02-20,tv,0,,,
2023-02-27,tv,0,,,
2023-03-06,tv,8274,,,
2023-03-13,tv,8784,,,
2023-03-20,tv,0,,,
2023-03-27,tv,0,,,
2023-04-03,tv,0,,,
2023-04-10,tv,0,,,
2023-04-17,tv,7810,,,
2023-04-24,tv,7829,,,
2023-05-01,tv,0,,,
2023-05-08,tv,0,,,
2023-05-15,tv,0,,,
2023-05-22,tv,0,,,
2023-05-29,tv,8840,,,
2023-06-05,tv,7758,,,
2023-06-12,tv,0,,,
2023-06-19,tv,0,,,
2023-06-26,tv,0,,,
2023-07-03,tv,0,,,
2023-07-10,tv,0,,,
2023-07-17,tv,0,,,
2023-07-24,tv,0,,,
2023-07-31,tv,0,,,
2023-08-07,tv,0,,,
2023-08-14,tv,0,,,
2023-08-21,tv,0,,,
2023-08-28,tv,0,,,
2023-09-04,tv,8584,,,
2023-09-11,tv,9198,,,
2023-09-18,tv,0,,,
2023-09-25,tv,0,,,
