week_start,t,revenue,promo_flag,holiday_flag,advent_flag,jan_dip_flag,spend_tv,spend_radio,spend_print,spend_paid_search,spend_paid_social
2022-01-03,1,72823.78560160384,0,1,0,0,0,0,0,2353,1938
2022-01-10,2,57648.11020661234,0,0,0,1,0,0,0,2219,1638
2022-01-17,3,57275.27316992444,0,0,0,1,0,0,0,2352,2163
2022-01-24,4,66704.40721901524,0,0,0,1,0,0,0,2424,1918
2022-01-31,5,60884.514605684104,0,0,0,1,0,0,0,2553,2125
2022-02-07,6,80667.45786843631,0,0,0,0,0,0,0,2674,3306
2022-02-14,7,75203.85928949008,0,0,0,0,0,0,0,2625,1586
2022-02-21,8,76067.66536372568,1,0,0,0,0,0,0,2922,1659
2022-02-28,9,74318.72443930787,0,0,0,0,0,0,0,2110,1350
2022-03-07,10,76567.3215793937,0,0,0,0,8413,0,0,2467,1774
2022-03-14,11,78376.78960328513,0,0,0,0,7482,0,4658,3022,2126
2022-03-21,12,88904.2800659603,0,0,0,0,0,3279,5483,2441,4046
2022-03-28,13,83308.38280459064,0,0,0,0,0,3191,0,2251,2363
2022-04-04,14,103418.70713867122,1,0,0,0,0,3792,0,2352,2408
2022-04-11,15,93813.7162434118,0,0,0,0,0,0,0,2309,2407
2022-04-18,16,94717.59941945405,0,1,0,0,6963,0,0,2405,2663
2022-04-25,17,92006.35101422014,0,1,0,0,7934,0,0,2851,2074
2022-05-02,18,106368.14835515645,1,0,0,0,0,0,5810,2223,3902
2022-05-09,19,94828.9302324939,0,0,0,0,0,0,4877,2364,2214
2022-05-16,20,92141.49300172694,0,0,0,0,0,3642,0,2789,1233
2022-05-23,21,89748.20312990971,0,1,0,0,0,4052,0,2564,2065
2022-05-30,22,104500.285922226,1,0,0,0,8512,3138,0,2570,2035
2022-06-06,23,84970.91942216376,0,1,0,0,8116,0,0,2429,2134
2022-06-13,24,81421.94881153578,0,1,0,0,0,0,0,2694,3460
2022-06-20,25,79936.28239892212,0,0,0,0,0,0,0,2300,1792
2022-06-27,26,79092.30355687099,0,0,0,0,0,0,0,2697,1860
2022-07-04,27,75102.14809895407,0,0,0,0,0,0,0,2529,2239
2022-07-11,28,79917.99268762418,0,0,0,0,0,0,0,2467,2157
2022-07-18,29,74089.21961881538,0,0,0,0,0,0,0,2397,2468
2022-07-25,30,71574.88434003702,0,0,0,0,0,0,0,2696,3229
2022-08-01,31,67790.14458957955,0,0,0,0,0,0,0,2573,2359
2022-08-08,32,64699.38477232872,0,0,0,0,0,0,0,2426,2596
2022-08-15,33,62532.54932059113,0,1,0,0,0,0,0,2529,1736
2022-08-22,34,79204.3238220448,0,0,0,0,0,0,0,2294,2037
2022-08-29,35,80818.65258582422,0,0,0,0,0,0,4533,2762,1524
2022-09-05,36,113030.80421264729,1,0,0,0,8786,0,4821,2783,2756
2022-09-12,37,97192.80449831861,0,0,0,0,8146,0,0,2733,1588
