week_start,revenue_eur,orders,promo_flag,holiday_flag
2022-01-03,72823.78560160384,767,0,1
2022-01-10,57648.11020661234,607,0,0
2022-01-17,57275.27316992444,603,0,0
2022-01-24,66704.40721901524,702,0,0
2022-01-31,60884.514605684104,641,0,0
2022-02-07,80667.45786843631,849,0,0
2022-02-14,75203.85928949008,792,0,0
2022-02-21,76067.66536372568,801,1,0
2022-02-28,74318.72443930787,782,0,0
2022-03-07,76567.3215793937,806,0,0
2022-03-14,78376.78960328513,825,0,0
2022-03-21,88904.2800659603,936,0,0
2022-03-28,83308.38280459064,877,0,0
2022-04-04,103418.70713867122,1089,1,0
2022-04-11,93813.7162434118,988,0,0
2022-04-18,94717.59941945405,997,0,1
2022-04-25,92006.35101422014,968,0,1
2022-05-02,106368.14835515645,1120,1,0
2022-05-09,94828.9302324939,998,0,0
2022-05-16,92141.49300172694,970,0,0
2022-05-23,89748.20312990971,945,0,1
2022-05-30,104500.285922226,1100,1,0
2022-06-06,84970.91942216376,894,0,1
2022-06-13,81421.94881153578,857,0,1
2022-06-20,79936.28239892212,841,0,0
2022-06-27,79092.30355687099,833,0,0
2022-07-04,75102.14809895407,791,0,0
2022-07-11,79917.99268762418,841,0,0
2022-07-18,74089.21961881538,780,0,0
2022-07-25,71574.88434003702,753,0,0
2022-08-01,67790.14458957955,714,0,0
2022-08-08,64699.38477232872,681,0,0
2022-08-15,62532.54932059113,658,0,1
2022-08-22,79204.3238220448,834,0,0
2022-08-29,80818.65258582422,851,0,0
2022-09-05,113030.80421264729,1190,1,0
2022-09-12,97192.80449831861,1023,0,0
2022-09-19,83513.9839630628,879,0,0
2022-09-26,84839.50277187144,893,0,0
2022-10-03,80592.23676597893,848,0,0
2022-10-10,75588.32678894726,796,0,0
2022-10-17,87542.9848998802,922,0,0
2022-10-24,79523.44035807902,837,0,1
2022-10-31,73379.92330300478,772,0,1
2022-11-07,77631.1340845267,817,0,0
2022-11-14,77554.98190350474,816,0,0
2022-11-21,99958.04202566105,1052,1,0
2022-11-28,141862.1830674969,1351,1,0
2022-12-05,137444.15808646873,1309,1,1
2022-12-12,141291.4987585863,1346,1,0
2022-12-19,136315.51251115557,1298,1,1
2022-12-26,86944.04925520642,915,0,1
2023-01-02,84054.64572204216,885,0,1
2023-01-09,72128.10804525309,759,0,0
2023-01-16,68857.99099044316,725,0,0
2023-01-23,65292.098326571875,687,0,0
2023-01-30,73681.58619398475,776,0,0
2023-02-06,77300.46341031734,814,0,0
2023-02-13,77022.83933027831,811,0,0
2023-02-20,89744.6850433899,945,1,0
2023-02-27,79132.34854997878,833,0,0
2023-03-06,85230.99711579108,897,0,0
2023-03-13,82540.45327920488,869,0,0
2023-03-20,89279.2192256669,940,0,0
2023-03-27,93021.99510210064,979,0,0
2023-04-03,109727.78132140092,1155,1,0
2023-04-10,94944.26647269966,999,0,1
2023-04-17,91824.5307819763,967,0,0
2023-04-24,91076.18840186759,959,0,0
2023-05-01,107393.69904478625,1130,1,1
2023-05-08,98523.04889344612,1037,0,0
2023-05-15,100761.07885250948,1061,0,1
2023-05-22,98836.18954192325,1040,0,0
2023-05-29,104347.74505485292,1098,1,1
2023-06-05,87360.74857334609,920,0,1
2023-06-12,86060.84326034828,906,0,0
2023-06-19,82839.78086216081,872,0,0
2023-06-26,82212.3549995347,865,0,0
2023-07-03,77800.00084982182,819,0,0
2023-07-10,78679.41888233053,828,0,0
2023-07-17,65955.20647076528,694,0,0
2023-07-24,76734.84306882609,808,0,0
2023-07-31,73429.73836273765,773,0,0
2023-08-07,78121.2196927837,822,0,0
2023-08-14,70116.30463308068,738,0,1
2023-08-21,74259.29108190705,782,0,0
2023-08-28,88862.62186431968,935,0,0
2023-09-04,111722.78199920488,1176,1,0
2023-09-11,101721.57058684003,1071,0,0
2023-09-18,90519.18297561418,953,0,0
2023-09-25,89717.45944772544,944,0,0
2023-10-02,82126.33748572605,864,0,0
2023-10-09,81630.53526499654,859,0,0
2023-10-16,80644.61917476883,849,0,0
2023-10-23,82175.25278743786,865,0,1
2023-10-30,78141.34836391007,823,0,1
2023-11-06,82385.55801390544,867,0,0
2023-11-13,82741.4558700236,871,0,0
2023-11-20,101204.07214295943,1065,1,0
2023-11-27,145756.91766560322,1388,1,0
2023-12-04,152225.6933437008,1450,1,1
2023-12-11,148148.47859499243,1411,1,0
2023-12-18,143862.00628860274,1370,1,0
2023-12-25,93329.21539661499,982,0,1
2024-01-01,91771.69432579378,966,0,1
2024-01-08,70558.84382650786,743,0,0
2024-01-15,67299.05010420633,708,0,0
2024-01-22,74139.4742977436,780,0,0
2024-01-29,72335.03835590514,761,0,0
2024-02-05,85396.48847694982,899,0,0
2024-02-12,85803.06906115821,903,0,0
2024-02-19,87618.83611651968,922,1,0
2024-02-26,76003.58040855409,800,0,0
2024-03-04,90605.61886008871,954,0,0
2024-03-11,94796.81219551324,998,0,0
2024-03-18,94614.91768023091,996,0,0
2024-03-25,94393.22249259075,994,0,0
