week_start,channel,spend_eur,impressions,platform_conversions,platform_revenue_eur
2021-01-04,search_brand,653,54417,34,3208.878138
2021-01-04,search_generic,2698,134900,100,9488.504194
2021-01-04,meta,1907,317833,85,8089.244742
2021-01-04,display_video,1090,272500,43,4119.798547
2021-01-04,print_regional,0,,,
2021-01-04,radio,0,,,
2021-01-11,search_brand,578,48167,32,3080.643132
2021-01-11,search_generic,2791,139550,110,10461.820819
2021-01-11,meta,2266,377667,103,9810.964689
2021-01-11,display_video,989,247250,54,5166.677819
2021-01-11,print_regional,0,,,
2021-01-11,radio,0,,,
2021-01-18,search_brand,736,61333,37,3549.896365
2021-01-18,search_generic,2741,137050,111,10555.056473
2021-01-18,meta,2547,424500,112,10607.166532
2021-01-18,display_video,1089,272250,61,5790.405368
2021-01-18,print_regional,0,,,
2021-01-18,radio,0,,,
2021-01-25,search_brand,745,62083,39,3673.691779
2021-01-25,search_generic,2139,106950,101,9628.742189
2021-01-25,meta,1714,285667,104,9833.125983
2021-01-25,display_video,1143,285750,65,6163.078436
2021-01-25,print_regional,0,,,
2021-01-25,radio,0,,,
2021-02-01,search_brand,681,56750,37,3470.594064
2021-02-01,search_generic,2580,129000,107,10177.943180
2021-02-01,meta,1744,290667,101,9566.779958
2021-02-01,display_video,1240,310000,68,6473.052796
2021-02-01,print_regional,0,,,
2021-02-01,radio,0,,,
2021-02-08,search_brand,722,60167,38,3586.483681
2021-02-08,search_generic,2637,131850,109,10375.881222
2021-02-08,meta,3935,655833,126,11968.269771
2021-02-08,display_video,1330,332500,71,6743.980751
2021-02-08,print_regional,0,,,
2021-02-08,radio,0,,,
2021-02-15,search_brand,803,66917,41,3875.570431
2021-02-15,search_generic,2383,119150,106,10034.376824
2021-02-15,meta,1892,315333,112,10654.037850
2021-02-15,display_video,1294,323500,72,6830.067647
2021-02-15,print_regional,0,,,
2021-02-15,radio,0,,,
2021-02-22,search_brand,764,63667,40,3773.345277
2021-02-22,search_generic,2665,133250,110,10415.997292
2021-02-22,meta,1692,282000,103,9830.766458
2021-02-22,display_video,1517,379250,75,7145.160860
2021-02-22,print_regional,0,,,
2021-02-22,radio,0,,,
2021-03-01,search_brand,742,61833,39,3726.444915
2021-03-01,search_generic,2272,113600,104,9849.569167
2021-03-01,meta,2315,385833,110,10402.575137
2021-03-01,display_video,907,226750,68,6500.723580
2021-03-01,print_regional,0,,,
2021-03-01,radio,0,,,
2021-03-08,search_brand,741,61750,39,3752.256335
2021-03-08,search_generic,2281,114050,103,9770.582994
2021-03-08,meta,1496,249333,99,9423.034875
2021-03-08,display_video,1175,293750,69,6556.513077
2021-03-08,print_regional,0,,,
2021-03-08,radio,0,,,
2021-03-15,search_brand,648,54000,36,3428.682367
2021-03-15,search_generic,2330,116500,103,9812.284536
2021-03-15,meta,1795,299167,100,9525.712245
2021-03-15,display_video,1592,398000,75,7120.643545
2021-03-15,print_regional,0,,,
2021-03-15,radio,0,,,
2021-03-22,search_brand,758,63167,39,3699.895136
2021-03-22,search_generic,2352,117600,104,9840.721932
2021-03-22,meta,3890,648333,126,11936.428439
2021-03-22,display_video,1155,288750,72,6823.375897
2021-03-22,print_regional,0,,,
2021-03-22,radio,0,,,
