week_start,revenue_eur,orders,promo_flag
2021-01-04,75515.378253,795,0
2021-01-11,66664.803797,702,0
2021-01-18,72696.229779,765,0
2021-01-25,64094.842877,675,0
2021-02-01,73012.449322,769,0
2021-02-08,95194.366204,1002,1
2021-02-15,83176.749238,876,0
2021-02-22,80408.948661,846,0
2021-03-01,81700.100218,860,0
2021-03-08,79265.870487,834,0
2021-03-15,84804.992429,893,0
2021-03-22,88229.585250,929,1
2021-03-29,78194.368259,823,0
2021-04-05,98715.921368,1039,0
2021-04-12,92574.388613,974,0
2021-04-19,103262.305831,1087,0
2021-04-26,107100.315867,1127,1
2021-05-03,102698.895374,1081,0
2021-05-10,99389.011247,1046,0
2021-05-17,102732.883983,1081,1
2021-05-24,96121.110105,1012,0
2021-05-31,95736.789202,1008,0
2021-06-07,83612.557081,880,0
2021-06-14,85971.458547,905,0
2021-06-21,83857.156484,883,0
2021-06-28,88438.192447,931,0
2021-07-05,81103.264560,854,0
2021-07-12,81274.498352,856,0
2021-07-19,77059.266525,811,0
2021-07-26,80501.605079,847,0
2021-08-02,82543.613774,869,0
2021-08-09,97732.234725,1029,1
2021-08-16,88402.639426,931,0
2021-08-23,93096.693877,980,1
2021-08-30,90430.111268,952,0
2021-09-06,106012.603736,1116,0
2021-09-13,117768.021659,1240,1
2021-09-20,89959.481690,947,0
2021-09-27,81713.662388,860,0
2021-10-04,81192.130949,855,0
2021-10-11,89281.153204,940,0
2021-10-18,91252.942640,961,0
2021-10-25,99157.204952,1044,0
2021-11-01,89303.825451,940,0
2021-11-08,91658.151531,965,0
2021-11-15,84984.587091,895,0
2021-11-22,102770.065567,1082,1
2021-11-29,134443.572212,1280,0
2021-12-06,126420.423818,1204,0
2021-12-13,146082.701588,1391,1
2021-12-20,145006.289620,1381,1
2021-12-27,96218.192609,1013,0
2022-01-03,82612.262774,870,0
2022-01-10,82396.114079,867,1
2022-01-17,76076.720805,801,0
2022-01-24,75365.520762,793,0
2022-01-31,75322.634111,793,0
2022-02-07,84817.614653,893,0
2022-02-14,88732.338769,934,0
2022-02-21,86804.279216,914,0
2022-02-28,80979.163525,852,0
2022-03-07,85377.029899,899,0
2022-03-14,81577.468601,859,0
2022-03-21,85046.075645,895,0
2022-03-28,96430.411493,1015,1
2022-04-04,98997.827230,1042,0
2022-04-11,102869.838671,1083,0
2022-04-18,100668.907498,1060,0
2022-04-25,114744.850542,1208,1
2022-05-02,102831.438532,1082,0
2022-05-09,104557.372632,1101,0
2022-05-16,109898.297866,1157,1
2022-05-23,105540.040945,1111,0
2022-05-30,101410.678864,1067,0
2022-06-06,91820.128185,967,0
2022-06-13,97402.293877,1025,1
2022-06-20,90456.710910,952,0
2022-06-27,95467.212999,1005,1
2022-07-04,91110.999337,959,0
2022-07-11,87561.934599,922,0
2022-07-18,90852.848966,956,1
2022-07-25,80761.266893,850,0
2022-08-01,77077.374492,811,0
2022-08-08,88915.108195,936,0
2022-08-15,80470.448481,847,0
2022-08-22,89853.657276,946,0
2022-08-29,90867.504864,957,0
2022-09-05,112009.816105,1179,0
2022-09-12,108294.668632,1140,0
2022-09-19,93562.514898,985,0
2022-09-26,91197.291064,960,0
2022-10-03,88218.974959,929,0
2022-10-10,90210.882990,950,0
2022-10-17,87813.439581,924,0
2022-10-24,90118.153013,949,0
2022-10-31,88610.912587,933,0
2022-11-07,87336.539634,919,0
2022-11-14,87149.657696,917,0
2022-11-21,99702.078603,1049,1
2022-11-28,129920.833469,1237,0
2022-12-05,130094.356405,1239,0
2022-12-12,148351.206468,1413,1
2022-12-19,151328.444205,1441,1
2022-12-26,89938.979568,947,0
2023-01-02,92260.464594,971,0
2023-01-09,79106.650668,833,0
2023-01-16,77383.092902,815,0
2023-01-23,79971.967471,842,0
2023-01-30,74845.529394,788,0
2023-02-06,87623.419688,922,0
2023-02-13,87295.577915,919,0
2023-02-20,98937.047528,1041,1
2023-02-27,86384.070514,909,0
2023-03-06,86010.596794,905,0
2023-03-13,96861.087849,1020,1
2023-03-20,88188.182286,928,0
2023-03-27,98080.309732,1032,0
2023-04-03,100683.867848,1060,0
2023-04-10,104923.513109,1104,0
2023-04-17,99306.770334,1045,0
2023-04-24,111752.616669,1176,1
2023-05-01,106874.689347,1125,0
2023-05-08,100711.838802,1060,0
2023-05-15,119171.495149,1254,1
2023-05-22,104880.016516,1104,0
2023-05-29,107981.054263,1137,0
2023-06-05,97116.067136,1022,1
2023-06-12,95937.987990,1010,0
2023-06-19,95109.213900,1001,0
2023-06-26,98888.793902,1041,0
2023-07-03,93228.058465,981,0
2023-07-10,95402.968218,1004,0
2023-07-17,85221.452651,897,0
2023-07-24,81375.051703,857,0
2023-07-31,86401.335849,909,0
2023-08-07,83170.537019,875,0
2023-08-14,87850.722831,925,0
2023-08-21,93521.064071,984,0
2023-08-28,106738.151095,1124,1
2023-09-04,112952.609135,1189,0
2023-09-11,114034.358851,1200,0
2023-09-18,107537.254722,1132,1
2023-09-25,93078.661617,980,0
2023-10-02,95257.040506,1003,0
2023-10-09,88642.591541,933,0
2023-10-16,89612.461695,943,0
2023-10-23,92782.644727,977,0
2023-10-30,86889.522113,915,0
2023-11-06,87226.293424,918,0
2023-11-13,97216.192793,1023,0
2023-11-20,103859.775244,1093,1
2023-11-27,135284.172006,1288,0
2023-12-04,136627.246692,1301,0
2023-12-11,158773.447992,1512,1
2023-12-18,153002.675583,1457,1
2023-12-25,93521.511396,984,0
