week_start,channel,spend_eur,impressions,platform_conversions,platform_revenue_eur
2022-01-03,search_brand,809,67417,39,3700.742635
2022-01-03,search_generic,2370,118500,93,8827.965728
2022-01-03,meta,2067,344500,89,8425.057011
2022-01-03,display_video,1171,292750,46,4337.673209
2022-01-03,print_regional,0,,,
2022-01-03,radio,0,,,
2022-01-10,search_brand,656,54667,35,3282.504540
2022-01-10,search_generic,2819,140950,109,10328.619116
2022-01-10,meta,2048,341333,100,9507.741536
2022-01-10,display_video,1331,332750,62,5888.721971
2022-01-10,print_regional,0,,,
2022-01-10,radio,4022,,,
2022-01-17,search_brand,635,52917,34,3217.413020
2022-01-17,search_generic,2083,104150,99,9414.174269
2022-01-17,meta,2227,371167,106,10102.038379
2022-01-17,display_video,1219,304750,66,6310.147618
2022-01-17,print_regional,0,,,
2022-01-17,radio,3575,,,
2022-01-24,search_brand,676,56333,35,3318.420326
2022-01-24,search_generic,2400,120000,103,9774.932506
2022-01-24,meta,2342,390333,110,10414.941201
2022-01-24,display_video,1155,288750,67,6405.198839
2022-01-24,print_regional,0,,,
2022-01-24,radio,3976,,,
2022-01-31,search_brand,631,52583,35,3285.781078
2022-01-31,search_generic,2427,121350,105,9956.767007
2022-01-31,meta,2308,384667,111,10545.140405
2022-01-31,display_video,1147,286750,68,6457.972887
2022-01-31,print_regional,0,,,
2022-01-31,radio,0,,,
2022-02-07,search_brand,790,65833,39,3737.930590
2022-02-07,search_generic,2605,130250,108,10270.754383
2022-02-07,meta,3794,632333,127,12020.444478
2022-02-07,display_video,934,233500,65,6145.672444
2022-02-07,print_regional,0,,,
2022-02-07,radio,0,,,
2022-02-14,search_brand,753,62750,39,3742.032971
2022-02-14,search_generic,2509,125450,108,10220.529065
2022-02-14,meta,1846,307667,112,10639.651933
2022-02-14,display_video,1435,358750,71,6758.628829
2022-02-14,print_regional,0,,,
2022-02-14,radio,0,,,
2022-02-21,search_brand,738,61500,38,3565.435999
2022-02-21,search_generic,2535,126750,107,10156.764157
2022-02-21,meta,1865,310833,105,10010.084300
2022-02-21,display_video,1219,304750,71,6706.734208
2022-02-21,print_regional,5752,,,
2022-02-21,radio,0,,,
2022-02-28,search_brand,785,65417,39,3680.605904
2022-02-28,search_generic,2045,102250,98,9312.295724
2022-02-28,meta,2156,359333,107,10179.535999
2022-02-28,display_video,1021,255250,68,6413.678004
2022-02-28,print_regional,4743,,,
2022-02-28,radio,0,,,
2022-03-07,search_brand,664,55333,37,3490.725006
2022-03-07,search_generic,2899,144950,112,10684.944972
2022-03-07,meta,1662,277000,101,9616.513602
2022-03-07,display_video,1131,282750,68,6449.208908
2022-03-07,print_regional,0,,,
2022-03-07,radio,0,,,
2022-03-14,search_brand,621,51750,35,3329.893127
2022-03-14,search_generic,2542,127100,109,10357.849851
2022-03-14,meta,1905,317500,103,9766.110311
2022-03-14,display_video,1112,278000,68,6427.271487
2022-03-14,print_regional,0,,,
2022-03-14,radio,0,,,
2022-03-21,search_brand,721,60083,38,3597.557009
2022-03-21,search_generic,2375,118750,105,9995.096245
2022-03-21,meta,3575,595833,123,11715.125649
2022-03-21,display_video,1173,293250,68,6502.128021
2022-03-21,print_regional,0,,,
2022-03-21,radio,0,,,
2022-03-28,search_brand,719,59917,38,3618.115967
2022-03-28,search_generic,2779,138950,111,10584.879912
2022-03-28,meta,2144,357333,114,10815.320899
2022-03-28,display_video,1125,281250,68,6469.710600
2022-03-28,print_regional,0,,,
2022-03-28,radio,0,,,
2022-04-04,search_brand,649,54083,35,3323.312399
2022-04-04,search_generic,2778,138900,112,10614.518901
2022-04-04,meta,2178,363000,110,10480.476201
2022-04-04,display_video,1444,361000,72,6880.672523
2022-04-04,print_regional,0,,,
2022-04-04,radio,3885,,,
2022-04-11,search_brand,732,61000,38,3627.412822
2022-04-11,search_generic,3071,153550,117,11113.236964
2022-04-11,meta,1658,276333,102,9714.476884
2022-04-11,display_video,944,236000,67,6405.119568
2022-04-11,print_regional,0,,,
2022-04-11,radio,2943,,,
2022-04-18,search_brand,788,65667,39,3707.167101
2022-04-18,search_generic,3202,160100,119,11286.872135
2022-04-18,meta,2203,367167,107,10145.999511
2022-04-18,display_video,1357,339250,71,6740.717059
2022-04-18,print_regional,0,,,
2022-04-18,radio,3741,,,
2022-04-25,search_brand,668,55667,38,3603.608008
2022-04-25,search_generic,3157,157850,121,11475.815342
2022-04-25,meta,1436,239333,98,9275.683695
2022-04-25,display_video,1179,294750,70,6695.178217
2022-04-25,print_regional,0,,,
2022-04-25,radio,0,,,
2022-05-02,search_brand,712,59333,37,3562.256063
2022-05-02,search_generic,3052,152600,118,11200.934852
2022-05-02,meta,3413,568833,120,11443.095450
2022-05-02,display_video,1345,336250,72,6856.209513
2022-05-02,print_regional,0,,,
2022-05-02,radio,0,,,
2022-05-09,search_brand,721,60083,38,3656.087601
2022-05-09,search_generic,2985,149250,117,11132.949620
2022-05-09,meta,2281,380167,115,10890.484047
2022-05-09,display_video,1120,280000,70,6650.281980
2022-05-09,print_regional,0,,,
2022-05-09,radio,0,,,
2022-05-16,search_brand,729,60750,40,3776.183315
2022-05-16,search_generic,2802,140100,115,10921.405508
2022-05-16,meta,1915,319167,108,10285.397536
2022-05-16,display_video,1052,263000,68,6454.028205
2022-05-16,print_regional,0,,,
2022-05-16,radio,0,,,
2022-05-23,search_brand,761,63417,40,3773.835207
2022-05-23,search_generic,3070,153500,118,11173.142249
2022-05-23,meta,2132,355333,108,10286.668392
2022-05-23,display_video,1229,307250,69,6596.737488
2022-05-23,print_regional,0,,,
