week_start,revenue_eur,orders,promo_flag
2022-01-03,76421.907972,804,0
2022-01-10,72192.440460,760,0
2022-01-17,75250.063709,792,0
2022-01-24,70242.793911,739,0
2022-01-31,73445.801375,773,0
2022-02-07,81679.392682,860,0
2022-02-14,82463.446448,868,0
2022-02-21,90393.501831,952,1
2022-02-28,86957.155061,915,0
2022-03-07,81779.829435,861,0
2022-03-14,79431.088837,836,0
2022-03-21,92554.826053,974,1
2022-03-28,88436.445111,931,0
2022-04-04,92399.505027,973,0
2022-04-11,101988.498529,1074,1
2022-04-18,96686.038843,1018,0
2022-04-25,105920.517993,1115,1
2022-05-02,88827.012581,935,0
2022-05-09,96412.909771,1015,0
2022-05-16,99837.895451,1051,1
2022-05-23,86217.643205,908,0
2022-05-30,92282.844997,971,0
2022-06-06,88452.426339,931,0
2022-06-13,87664.620997,923,0
2022-06-20,86360.083158,909,0
2022-06-27,89765.719331,945,0
2022-07-04,82942.029559,873,0
2022-07-11,84484.131094,889,0
2022-07-18,78990.277444,831,0
2022-07-25,76599.795143,806,0
2022-08-01,75161.212224,791,0
2022-08-08,79792.468109,840,0
2022-08-15,80483.455169,847,0
2022-08-22,85634.345481,901,0
2022-08-29,88369.409507,930,0
2022-09-05,101338.645218,1067,0
2022-09-12,108430.216515,1141,0
2022-09-19,90699.387282,955,0
2022-09-26,92954.325455,978,1
2022-10-03,88268.550914,929,0
2022-10-10,91042.054763,958,0
2022-10-17,94226.964416,992,0
2022-10-24,90088.556759,948,0
2022-10-31,96401.981001,1015,1
2022-11-07,89815.368143,945,0
2022-11-14,85132.573652,896,0
2022-11-21,95682.586270,1007,1
2022-11-28,133692.224817,1273,0
2022-12-05,127694.591474,1216,0
2022-12-12,144714.431408,1378,1
2022-12-19,144705.216711,1378,1
2022-12-26,99028.477615,1042,0
2023-01-02,92760.497795,976,0
2023-01-09,82187.714082,865,0
2023-01-16,79429.257531,836,0
2023-01-23,76070.094216,801,0
2023-01-30,79033.486630,832,0
2023-02-06,91600.792669,964,0
2023-02-13,85439.456844,899,0
2023-02-20,87733.633481,924,0
2023-02-27,88637.592250,933,0
2023-03-06,85727.773913,902,0
2023-03-13,83486.319010,879,0
2023-03-20,79543.922852,837,0
2023-03-27,95869.102066,1009,1
2023-04-03,96957.552708,1021,0
2023-04-10,93512.501950,984,0
2023-04-17,94333.397549,993,0
2023-04-24,101482.091199,1068,1
2023-05-01,101628.314246,1070,0
2023-05-08,100667.122220,1060,0
2023-05-15,109004.050823,1147,1
2023-05-22,104217.567968,1097,0
2023-05-29,102016.817069,1074,0
2023-06-05,89388.391756,941,0
2023-06-12,99523.075218,1048,0
2023-06-19,98155.508240,1033,0
2023-06-26,106867.429020,1125,1
2023-07-03,89117.286113,938,0
2023-07-10,98811.556727,1040,1
2023-07-17,80774.592038,850,0
2023-07-24,79165.440939,833,0
2023-07-31,79472.670765,837,0
2023-08-07,81501.776998,858,0
2023-08-14,80710.758388,850,0
2023-08-21,91876.305547,967,0
2023-08-28,87936.977154,926,0
2023-09-04,108727.659549,1145,0
2023-09-11,106337.831274,1119,0
2023-09-18,93386.605467,983,0
2023-09-25,95206.304027,1002,0
2023-10-02,92868.988326,978,0
2023-10-09,86105.416818,906,0
2023-10-16,96780.408002,1019,1
2023-10-23,89812.303658,945,0
2023-10-30,107136.163818,1128,1
2023-11-06,96715.520590,1018,0
2023-11-13,97612.234878,1027,0
2023-11-20,104489.541962,1100,1
2023-11-27,136254.200573,1298,0
2023-12-04,135496.619356,1290,0
2023-12-11,155158.065066,1478,1
2023-12-18,152403.145991,1451,1
2023-12-25,94557.512318,995,0
