week_start,channel,spend_eur,impressions,platform_conversions,platform_revenue_eur
2022-01-03,search_brand,654,54500,33,3106.663418
2022-01-03,search_generic,2100,105000,86,8160.234293
2022-01-03,meta,2243,373833,92,8700.749810
2022-01-03,display_video,1034,258500,0,32.207261
2022-01-03,print_regional,0,,,
2022-01-03,radio,3610,,,
2022-01-10,search_brand,673,56083,35,3312.952946
2022-01-10,search_generic,2575,128750,104,9873.090224
2022-01-10,meta,1879,313167,98,9353.088675
2022-01-10,display_video,1028,257000,0,26.193440
2022-01-10,print_regional,0,,,
2022-01-10,radio,3283,,,
2022-01-17,search_brand,648,54000,34,3252.233489
2022-01-17,search_generic,2377,118850,103,9824.951092
2022-01-17,meta,2078,346333,104,9850.447578
2022-01-17,display_video,1206,301500,0,28.946973
2022-01-17,print_regional,0,,,
2022-01-17,radio,3720,,,
2022-01-24,search_brand,714,59500,36,3435.145556
2022-01-24,search_generic,2438,121900,104,9919.500880
2022-01-24,meta,1897,316167,103,9760.119482
2022-01-24,display_video,1384,346000,0,32.882137
2022-01-24,print_regional,0,,,
2022-01-24,radio,3709,,,
2022-01-31,search_brand,659,54917,35,3293.493728
2022-01-31,search_generic,2535,126750,106,10093.423505
2022-01-31,meta,2399,399833,109,10386.515306
2022-01-31,display_video,1071,267750,0,25.046323
2022-01-31,print_regional,0,,,
2022-01-31,radio,3650,,,
2022-02-07,search_brand,797,66417,39,3675.697939
2022-02-07,search_generic,2249,112450,102,9663.899090
2022-02-07,meta,4003,667167,127,12075.008372
2022-02-07,display_video,1253,313250,0,32.704406
2022-02-07,print_regional,0,,,
2022-02-07,radio,3261,,,
2022-02-14,search_brand,637,53083,36,3449.353823
2022-02-14,search_generic,2255,112750,102,9711.858756
2022-02-14,meta,1513,252167,109,10324.591814
2022-02-14,display_video,1148,287000,1,62.455978
2022-02-14,print_regional,0,,,
2022-02-14,radio,0,,,
2022-02-21,search_brand,639,53250,34,3260.046651
2022-02-21,search_generic,2770,138500,110,10433.683100
2022-02-21,meta,1673,278833,101,9616.500257
2022-02-21,display_video,944,236000,0,28.371452
2022-02-21,print_regional,4036,,,
2022-02-21,radio,0,,,
2022-02-28,search_brand,621,51750,33,3177.662800
2022-02-28,search_generic,2486,124300,107,10123.839224
2022-02-28,meta,2046,341000,104,9897.893909
2022-02-28,display_video,1117,279250,0,29.443399
2022-02-28,print_regional,5214,,,
2022-02-28,radio,0,,,
2022-03-07,search_brand,724,60333,38,3629.489206
2022-03-07,search_generic,2712,135600,111,10536.196549
2022-03-07,meta,1738,289667,101,9627.766354
2022-03-07,display_video,1160,290000,1,55.493480
2022-03-07,print_regional,0,,,
2022-03-07,radio,0,,,
2022-03-14,search_brand,630,52500,35,3338.633338
2022-03-14,search_generic,2783,139150,112,10676.596952
2022-03-14,meta,1963,327167,104,9832.746776
2022-03-14,display_video,1537,384250,1,67.437804
2022-03-14,print_regional,0,,,
2022-03-14,radio,0,,,
2022-03-21,search_brand,764,63667,37,3558.948798
2022-03-21,search_generic,2571,128550,108,10274.241267
2022-03-21,meta,3586,597667,122,11586.337410
2022-03-21,display_video,1210,302500,0,27.612179
2022-03-21,print_regional,5174,,,
2022-03-21,radio,0,,,
2022-03-28,search_brand,653,54417,35,3311.746929
2022-03-28,search_generic,2306,115300,103,9805.567663
2022-03-28,meta,2415,402500,116,11034.955947
2022-03-28,display_video,1143,285750,0,30.698528
2022-03-28,print_regional,4799,,,
2022-03-28,radio,0,,,
2022-04-04,search_brand,745,62083,39,3679.359123
2022-04-04,search_generic,3366,168300,120,11393.562145
2022-04-04,meta,2445,407500,115,10951.911963
2022-04-04,display_video,1254,313500,1,56.174948
2022-04-04,print_regional,0,,,
2022-04-04,radio,0,,,
2022-04-11,search_brand,815,67917,41,3910.665135
2022-04-11,search_generic,2949,147450,117,11099.570905
2022-04-11,meta,2314,385667,113,10751.018761
2022-04-11,display_video,1341,335250,1,63.301451
2022-04-11,print_regional,0,,,
2022-04-11,radio,0,,,
2022-04-18,search_brand,653,54417,37,3508.148944
2022-04-18,search_generic,2885,144250,116,10994.497546
2022-04-18,meta,1711,285167,104,9913.820262
2022-04-18,display_video,1195,298750,1,65.009482
2022-04-18,print_regional,0,,,
2022-04-18,radio,0,,,
2022-04-25,search_brand,513,42750,32,2998.842548
2022-04-25,search_generic,3079,153950,119,11269.077140
2022-04-25,meta,1938,323000,105,9947.116066
2022-04-25,display_video,1280,320000,1,75.850616
2022-04-25,print_regional,0,,,
2022-04-25,radio,0,,,
2022-05-02,search_brand,738,61500,38,3609.724645
2022-05-02,search_generic,3176,158800,119,11340.679110
2022-05-02,meta,3434,572333,122,11604.609467
2022-05-02,display_video,808,202000,0,34.798990
2022-05-02,print_regional,0,,,
2022-05-02,radio,0,,,
2022-05-09,search_brand,738,61500,38,3596.374224
2022-05-09,search_generic,3107,155350,118,11228.005675
2022-05-09,meta,2063,343833,112,10638.596436
2022-05-09,display_video,1054,263500,0,36.149191
2022-05-09,print_regional,0,,,
2022-05-09,radio,3290,,,
2022-05-16,search_brand,697,58083,37,3516.894278
2022-05-16,search_generic,2923,146150,116,10997.697941
2022-05-16,meta,2057,342833,109,10311.392936
2022-05-16,display_video,1038,259500,0,40.231902
2022-05-16,print_regional,0,,,
2022-05-16,radio,3728,,,
2022-05-23,search_brand,700,58333,37,3482.301867
2022-05-23,search_generic,3185,159250,119,11269.225438
2022-05-23,meta,1956,326000,106,10028.098439
2022-05-23,display_video,1162,290500,0,39.478632
2022-05-23,print_regional,0,,,
2022-05-23,radio,3367,,,
2022-05-30,search_brand,771,64250,40,3801.647811
2022-05-30,search_generic,2852,142600,115,10970.326921
2022-05-30,meta,2266,377667,110,10414.295006
2022-05-30,display_video,1183,295750,1,58.994468
2022-05-30,print_regional,0,,,
2022-05-30,radio,0,,,
2022-06-06,search_brand,602,50167,35,3282.328717
2022-06-06,search_generic,2580,129000,110,10468.072161
2022-06-06,meta,2104,350667,108,10291.661339
2022-06-06,display_video,1236,309000,1,58.175847
2022-06-06,print_regional,0,,,
2022-06-06,radio,0,,,
2022-06-13,search_brand,698,58167,37,3535.266735
2022-06-13,search_generic,2451,122550,107,10153.776754
2022-06-13,meta,3403,567167,123,11680.386706
2022-06-13,display_video,1169,292250,1,53.502973
2022-06-13,print_regional,0,,,
2022-06-13,radio,0,,,
2022-06-20,search_brand,810,67500,39,3719.829182
2022-06-20,search_generic,2315,115750,103,9771.072384
2022-06-20,meta,2198,366333,114,10783.942690
2022-06-20,display_video,1194,298500,0,31.902648
2022-06-20,print_regional,4995,,,
2022-06-20,radio,0,,,
2022-06-27,search_brand,666,55500,36,3383.630887
2022-06-27,search_generic,2640,132000,108,10264.016468
2022-06-27,meta,2057,342833,109,10341.388953
2022-06-27,display_video,1123,280750,0,33.569881
2022-06-27,print_regional,5359,,,
2022-06-27,radio,0,,,
2022-07-04,search_brand,696,58000,37,3549.418685
2022-07-04,search_generic,2599,129950,109,10371.728141
2022-07-04,meta,2109,351500,108,10305.243383
2022-07-04,display_video,1272,318000,1,58.723527
2022-07-04,print_regional,0,,,
2022-07-04,radio,0,,,
2022-07-11,search_brand,694,57833,37,3560.783250
2022-07-11,search_generic,2396,119800,106,10052.701031
2022-07-11,meta,2185,364167,109,10373.816598
2022-07-11,display_video,1145,286250,1,55.023205
2022-07-11,print_regional,0,,,
2022-07-11,radio,0,,,
2022-07-18,search_brand,763,63583,39,3747.663662
2022-07-18,search_generic,2387,119350,105,9962.964929
2022-07-18,meta,1944,324000,106,10062.987897
2022-07-18,display_video,951,237750,0,43.725645
2022-07-18,print_regional,0,,,
2022-07-18,radio,0,,,
2022-07-25,search_brand,604,50333,34,3203.755863
2022-07-25,search_generic,2526,126300,107,10117.858028
2022-07-25,meta,3894,649000,126,11967.135744
2022-07-25,display_video,1314,328500,0,43.844948
2022-07-25,print_regional,0,,,
2022-07-25,radio,0,,,
2022-08-01,search_brand,677,56417,36,3458.143380
2022-08-01,search_generic,2698,134900,110,10484.813730
2022-08-01,meta,1849,308167,112,10618.383762
2022-08-01,display_video,1125,281250,1,49.347751
2022-08-01,print_regional,0,,,
2022-08-01,radio,0,,,
2022-08-08,search_brand,752,62667,39,3681.466682
2022-08-08,search_generic,2788,139400,112,10668.771148
2022-08-08,meta,2739,456500,117,11103.080460
2022-08-08,display_video,1332,333000,1,56.106682
2022-08-08,print_regional,0,,,
2022-08-08,radio,0,,,
2022-08-15,search_brand,777,64750,38,3619.160249
2022-08-15,search_generic,2409,120450,105,10018.739034
2022-08-15,meta,2324,387333,113,10701.407027
2022-08-15,display_video,1166,291500,0,26.537559
2022-08-15,print_regional,5585,,,
2022-08-15,radio,0,,,
2022-08-22,search_brand,631,52583,34,3251.025249
2022-08-22,search_generic,2639,131950,108,10293.579288
2022-08-22,meta,2348,391333,112,10643.877734
2022-08-22,display_video,1135,283750,0,30.162691
2022-08-22,print_regional,4926,,,
2022-08-22,radio,0,,,
2022-08-29,search_brand,727,60583,38,3654.378607
2022-08-29,search_generic,2715,135750,111,10578.781770
2022-08-29,meta,1761,293500,105,9961.723987
2022-08-29,display_video,1113,278250,1,54.747843
2022-08-29,print_regional,0,,,
2022-08-29,radio,0,,,
2022-09-05,search_brand,689,57417,36,3459.850064
2022-09-05,search_generic,2290,114500,104,9848.574453
2022-09-05,meta,3718,619667,124,11811.577551
2022-09-05,display_video,927,231750,0,32.077959
2022-09-05,print_regional,5295,,,
2022-09-05,radio,0,,,
2022-09-12,search_brand,727,60583,37,3544.209482
2022-09-12,search_generic,2489,124450,106,10041.580183
2022-09-12,meta,1718,286333,109,10338.431129
2022-09-12,display_video,1278,319500,0,41.242759
2022-09-12,print_regional,5846,,,
2022-09-12,radio,0,,,
2022-09-19,search_brand,792,66000,41,3923.298709
2022-09-19,search_generic,2215,110750,102,9720.779567
2022-09-19,meta,1766,294333,104,9874.798723
2022-09-19,display_video,1507,376750,1,85.993900
2022-09-19,print_regional,0,,,
2022-09-19,radio,0,,,
2022-09-26,search_brand,609,50750,35,3322.252884
2022-09-26,search_generic,2486,124300,106,10076.413399
2022-09-26,meta,2210,368333,108,10265.072046
2022-09-26,display_video,1098,274500,1,53.489571
2022-09-26,print_regional,0,,,
2022-09-26,radio,0,,,
2022-10-03,search_brand,650,54167,34,3260.157119
2022-10-03,search_generic,2644,132200,108,10284.578852
2022-10-03,meta,2511,418500,112,10644.950948
2022-10-03,display_video,1213,303250,0,31.635773
2022-10-03,print_regional,4954,,,
2022-10-03,radio,0,,,
2022-10-10,search_brand,684,57000,35,3371.251778
2022-10-10,search_generic,2570,128500,108,10233.957246
2022-10-10,meta,2139,356500,109,10369.782935
2022-10-10,display_video,1138,284500,0,30.499144
2022-10-10,print_regional,5131,,,
2022-10-10,radio,0,,,
2022-10-17,search_brand,576,48000,33,3118.883685
2022-10-17,search_generic,2688,134400,110,10469.711606
2022-10-17,meta,3813,635500,127,12021.120541
2022-10-17,display_video,1000,250000,0,38.734899
2022-10-17,print_regional,0,,,
2022-10-17,radio,0,,,
2022-10-24,search_brand,596,49667,34,3241.220740
2022-10-24,search_generic,2525,126250,109,10320.066959
2022-10-24,meta,1756,292667,111,10549.255140
2022-10-24,display_video,1011,252750,1,53.773703
2022-10-24,print_regional,0,,,
2022-10-24,radio,0,,,
2022-10-31,search_brand,687,57250,38,3562.804496
2022-10-31,search_generic,2279,113950,104,9867.374690
2022-10-31,meta,1355,225833,98,9283.269580
2022-10-31,display_video,1312,328000,1,73.015447
2022-10-31,print_regional,0,,,
2022-10-31,radio,0,,,
2022-11-07,search_brand,738,61500,37,3550.554699
2022-11-07,search_generic,2498,124900,106,10028.092858
2022-11-07,meta,2589,431500,110,10497.441832
2022-11-07,display_video,1291,322750,0,38.114355
2022-11-07,print_regional,0,,,
2022-11-07,radio,3513,,,
2022-11-14,search_brand,710,59167,37,3505.745869
2022-11-14,search_generic,2802,140100,111,10564.846026
2022-11-14,meta,1616,269333,101,9617.324642
2022-11-14,display_video,1077,269250,0,34.481905
2022-11-14,print_regional,0,,,
2022-11-14,radio,3606,,,
2022-11-21,search_brand,673,56083,36,3441.062064
2022-11-21,search_generic,2265,113250,104,9842.990250
2022-11-21,meta,1798,299667,101,9586.924396
2022-11-21,display_video,1312,328000,1,51.304294
2022-11-21,print_regional,0,,,
2022-11-21,radio,3199,,,
2022-11-28,search_brand,702,58500,32,3392.236825
2022-11-28,search_generic,5195,259750,124,13061.908574
2022-11-28,meta,6834,1139000,129,13539.114514
2022-11-28,display_video,1096,274000,0,23.332454
2022-11-28,print_regional,5397,,,
2022-11-28,radio,3692,,,
2022-12-05,search_brand,731,60917,33,3511.511256
2022-12-05,search_generic,4741,237050,125,13171.959265
2022-12-05,meta,3203,533833,119,12502.576479
2022-12-05,display_video,1073,268250,0,27.895516
2022-12-05,print_regional,5209,,,
2022-12-05,radio,3827,,,
2022-12-12,search_brand,726,60500,34,3542.007824
2022-12-12,search_generic,4735,236750,126,13231.309219
2022-12-12,meta,3309,551500,116,12196.223097
2022-12-12,display_video,1090,272500,0,33.791814
2022-12-12,print_regional,4839,,,
2022-12-12,radio,3434,,,
2022-12-19,search_brand,614,51167,31,3245.122829
2022-12-19,search_generic,4576,228800,125,13154.877868
2022-12-19,meta,3808,634667,119,12466.514848
2022-12-19,display_video,1384,346000,0,50.476247
2022-12-19,print_regional,5047,,,
2022-12-19,radio,0,,,
2022-12-26,search_brand,608,50667,34,3274.722220
2022-12-26,search_generic,2802,140100,120,11366.413634
2022-12-26,meta,1676,279333,113,10705.057959
2022-12-26,display_video,1259,314750,1,62.702865
2022-12-26,print_regional,0,,,
2022-12-26,radio,0,,,
2023-01-02,search_brand,753,62750,40,3772.562728
2023-01-02,search_generic,1876,93800,99,9386.842671
2023-01-02,meta,1910,318333,107,10202.254522
2023-01-02,display_video,1107,276750,1,62.020335
2023-01-02,print_regional,0,,,
2023-01-02,radio,0,,,
2023-01-09,search_brand,597,49750,33,3157.212463
2023-01-09,search_generic,2611,130550,107,10137.079675
2023-01-09,meta,3820,636667,125,11904.742807
2023-01-09,display_video,1343,335750,0,40.639663
2023-01-09,print_regional,0,,,
2023-01-09,radio,0,,,
2023-01-16,search_brand,755,62917,37,3534.826599
2023-01-16,search_generic,2803,140150,111,10537.527651
2023-01-16,meta,2029,338167,113,10727.911099
2023-01-16,display_video,1290,322500,0,30.572575
2023-01-16,print_regional,0,,,
2023-01-16,radio,3822,,,
2023-01-23,search_brand,740,61667,37,3475.743439
2023-01-23,search_generic,2535,126750,107,10180.062298
2023-01-23,meta,1977,329500,107,10173.800561
2023-01-23,display_video,1130,282500,0,18.527937
2023-01-23,print_regional,5579,,,
2023-01-23,radio,3519,,,
2023-01-30,search_brand,659,54917,34,3258.539052
2023-01-30,search_generic,2563,128150,107,10160.757389
2023-01-30,meta,2101,350167,107,10131.443345
2023-01-30,display_video,900,225000,0,14.956056
2023-01-30,print_regional,5481,,,
2023-01-30,radio,3585,,,
2023-02-06,search_brand,706,58833,38,3618.848012
2023-02-06,search_generic,2908,145400,114,10871.660934
2023-02-06,meta,1454,242333,98,9299.178096
2023-02-06,display_video,1020,255000,1,53.262712
2023-02-06,print_regional,0,,,
2023-02-06,radio,0,,,
2023-02-13,search_brand,740,61667,40,3804.719386
2023-02-13,search_generic,2255,112750,105,9973.351057
2023-02-13,meta,1855,309167,101,9634.923584
2023-02-13,display_video,1029,257250,1,64.053311
2023-02-13,print_regional,0,,,
2023-02-13,radio,0,,,
2023-02-20,search_brand,679,56583,36,3445.365691
2023-02-20,search_generic,2672,133600,109,10355.052913
2023-02-20,meta,4256,709333,128,12186.017048
2023-02-20,display_video,1228,307000,0,44.274913
2023-02-20,print_regional,0,,,
2023-02-20,radio,0,,,
2023-02-27,search_brand,653,54417,36,3434.616623
2023-02-27,search_generic,2338,116900,105,9963.221385
2023-02-27,meta,2342,390333,119,11264.493089
2023-02-27,display_video,1210,302500,1,58.966918
2023-02-27,print_regional,0,,,
2023-02-27,radio,0,,,
2023-03-06,search_brand,740,61667,37,3536.133776
2023-03-06,search_generic,2508,125400,106,10058.150985
2023-03-06,meta,1917,319500,109,10315.777141
2023-03-06,display_video,1289,322250,0,35.611659
2023-03-06,print_regional,5099,,,
2023-03-06,radio,0,,,
2023-03-13,search_brand,735,61250,37,3552.679830
2023-03-13,search_generic,2765,138250,111,10499.761960
2023-03-13,meta,1488,248000,98,9352.169803
2023-03-13,display_video,1053,263250,0,30.482141
2023-03-13,print_regional,4996,,,
2023-03-13,radio,0,,,
2023-03-20,search_brand,765,63750,39,3673.236033
2023-03-20,search_generic,2358,117900,105,9967.910260
2023-03-20,meta,1873,312167,101,9597.133812
2023-03-20,display_video,1076,269000,0,36.726107
2023-03-20,print_regional,0,,,
2023-03-20,radio,3298,,,
2023-03-27,search_brand,638,53167,35,3316.430866
2023-03-27,search_generic,2582,129100,108,10223.855763
2023-03-27,meta,2137,356167,106,10039.462995
2023-03-27,display_video,1560,390000,1,53.178364
2023-03-27,print_regional,0,,,
2023-03-27,radio,3883,,,
2023-04-03,search_brand,720,60000,37,3518.142055
2023-04-03,search_generic,2794,139700,111,10588.812017
2023-04-03,meta,3282,547000,120,11435.134187
2023-04-03,display_video,1303,325750,0,42.958442
2023-04-03,print_regional,0,,,
2023-04-03,radio,3079,,,
2023-04-10,search_brand,699,58250,38,3581.339420
2023-04-10,search_generic,2985,149250,116,11018.120578
2023-04-10,meta,2513,418833,117,11159.398041
2023-04-10,display_video,1478,369500,1,71.039245
2023-04-10,print_regional,0,,,
2023-04-10,radio,0,,,
2023-04-17,search_brand,758,63167,40,3796.525597
2023-04-17,search_generic,3124,156200,119,11307.952769
2023-04-17,meta,1717,286167,106,10095.780318
