week_start,revenue_eur,orders,promo_flag
2022-01-03,81649.356075,859,0
2022-01-10,67738.399715,713,0
2022-01-17,66243.672667,697,0
2022-01-24,62307.905352,656,0
2022-01-31,70738.343841,745,0
2022-02-07,82680.457506,870,0
2022-02-14,80252.576603,845,0
2022-02-21,82657.137048,870,0
2022-02-28,84806.885315,893,0
2022-03-07,81587.364349,859,0
2022-03-14,85516.798296,900,0
2022-03-21,85777.439950,903,0
2022-03-28,79282.462938,835,0
2022-04-04,94134.471280,991,0
2022-04-11,92214.073649,971,0
2022-04-18,83775.239445,882,0
2022-04-25,99201.164683,1044,1
2022-05-02,87657.308650,923,0
2022-05-09,91200.420457,960,0
2022-05-16,101805.377723,1072,1
2022-05-23,92186.848104,970,0
2022-05-30,92976.804911,979,0
2022-06-06,78090.320290,822,0
2022-06-13,84859.558451,893,1
2022-06-20,77467.318254,815,0
2022-06-27,96766.095170,1019,1
2022-07-04,85212.560802,897,0
2022-07-11,86204.425960,907,0
2022-07-18,75446.802162,794,0
2022-07-25,75419.193913,794,0
2022-08-01,74511.152339,784,0
2022-08-08,86729.550056,913,1
2022-08-15,84527.743639,890,0
2022-08-22,86147.442183,907,0
2022-08-29,83862.444004,883,0
2022-09-05,111528.700142,1174,1
2022-09-12,96410.497024,1015,0
2022-09-19,98023.957357,1032,1
2022-09-26,82422.131311,868,0
2022-10-03,90330.618978,951,0
2022-10-10,90040.922045,948,0
2022-10-17,89811.938720,945,0
2022-10-24,85280.237087,898,0
2022-10-31,82355.513861,867,0
2022-11-07,83709.009942,881,0
2022-11-14,84834.183727,893,0
2022-11-21,93490.726568,984,1
2022-11-28,128104.281623,1220,0
2022-12-05,128893.305148,1228,0
2022-12-12,145057.564889,1382,1
2022-12-19,137516.468235,1310,1
2022-12-26,88380.317769,930,0
2023-01-02,81718.080639,860,0
2023-01-09,72951.906895,768,0
2023-01-16,74776.201721,787,0
2023-01-23,78832.858682,830,0
2023-01-30,73388.278860,773,0
2023-02-06,90479.787490,952,0
2023-02-13,94409.238314,994,1
2023-02-20,86294.614986,908,0
2023-02-27,81652.696872,860,0
2023-03-06,89444.835410,942,0
2023-03-13,85601.717691,901,0
2023-03-20,87722.575623,923,0
2023-03-27,91529.186957,963,1
2023-04-03,96094.495372,1012,0
2023-04-10,96736.287081,1018,0
2023-04-17,97050.427730,1022,0
2023-04-24,102994.645781,1084,1
2023-05-01,96096.815879,1012,0
2023-05-08,97413.887409,1025,0
2023-05-15,113757.192150,1197,1
2023-05-22,105919.312421,1115,0
2023-05-29,102989.016076,1084,0
2023-06-05,88419.826634,931,0
2023-06-12,96201.586629,1013,1
2023-06-19,86244.848181,908,0
2023-06-26,86141.956569,907,0
