week,TV,Radio,Print,Paid Search,Paid Social,baseline,noise
1,0.0,0.0,0.0,15530.0949,8465.1913,83129.055,-7328.6955
2,20445.9937,0.0,0.0,15744.3664,9112.6139,86031.0424,836.8823
3,26864.0467,6113.5112,5654.2655,15385.5537,10004.9052,84946.1465,1588.4783
4,28726.2797,7607.3575,7194.9705,15276.966,10001.1394,83908.692,109.7204
5,29061.3205,4647.4317,4735.0832,15146.6069,11132.8297,82945.6368,-1768.0885
6,29849.3395,2249.4193,6464.4057,14592.8503,9988.0407,82075.5573,1416.617
7,29599.7434,931.9192,7125.3616,15847.4412,7958.5811,81308.1764,2048.3223
8,23277.9597,357.7733,7660.4104,17333.1221,9929.1359,80644.4529,-1908.9386
9,26874.6755,133.0991,7635.0397,14714.5468,8556.7639,80077.2183,-499.0614
10,27616.658,48.9228,5187.1163,15734.509,10012.3143,79592.3133,608.7004
11,28313.4195,17.902,2986.9647,15278.4367,8335.7681,79170.1485,3320.1805
12,21693.3242,6.54,6053.0919,15620.4677,8429.8319,78787.5884,-6351.6624
13,14677.1333,2.3878,6896.5464,13935.468,8060.4196,78420.0389,4000.9676
14,22053.7485,0.8716,4444.3183,14782.6271,8108.0562,78043.6074,-1669.3175
15,24837.8476,0.3181,2446.1089,15644.4288,9194.0045,73637.1987,4845.7069
16,25904.9832,0.1161,1203.2417,15912.1894,9011.6435,77184.4176,1863.4213
17,18935.5883,0.0424,555.1784,13539.5651,7975.7466,76675.1566,-1569.1866
18,12216.1361,0.0155,248.1385,13848.609,8283.2938,72106.768,-4708.0509
19,7079.7255,0.0056,109.2847,13320.1803,7687.8179,75484.7454,-2342.8749
20,3807.051,0.0021,47.8149,14408.7923,10266.3639,70822.8664,2638.2538
21,1957.2589,0.0008,20.8596,13111.6528,8289.9218,74142.7821,-6664.8556
22,981.8715,0.0003,9.0886,13391.4538,6825.7602,69473.0712,-9402.3888
23,486.348,0.0001,3.9577,14333.3738,8136.6131,68847.8098,3538.1975
24,239.3674,0.0,1.723,16303.4568,7966.5069,72304.7347,-1038.6736
25,15017.1438,0.0,0.75,13281.9273,11113.5828,71883.1061,4215.487
26,20597.4808,0.0,4449.5311,13079.5181,9698.6702,71621.3913,-6621.0681
27,24823.0737,4784.8632,6556.4934,15307.2206,8280.3034,71554.9036,-88.3763
28,17777.6298,6567.5156,4127.3907,14744.9534,8725.6164,71713.5364,-4598.2121
