week,week_start,spend_TV,spend_Radio,spend_Print,spend_Paid Search,spend_Paid Social,revenue,holiday,platform_Paid Search,platform_Paid Social
1,2023-01-02,0.0,0.0,0.0,8663.0,6477.0,99795.65,1.0,23994.39,13409.05
2,2023-01-09,41295.0,0.0,0.0,7723.0,5796.0,132170.9,0.0,21437.38,13850.86
3,2023-01-16,41903.0,10350.0,8175.0,7077.0,7693.0,150556.91,0.0,20640.77,15181.16
4,2023-01-23,38013.0,12335.0,8512.0,6996.0,6999.0,152825.13,0.0,20504.65,15162.93
5,2023-01-30,33571.0,0.0,0.0,6823.0,11393.0,145900.82,0.0,20564.84,17064.2
6,2023-02-06,38199.0,0.0,7092.0,6070.0,5646.0,146636.23,0.0,19669.85,15144.64
7,2023-02-13,32577.0,0.0,7228.0,8110.0,2662.0,144819.55,0.0,21644.69,12023.46
8,2023-02-20,0.0,0.0,8277.0,10996.0,8095.0,137293.92,0.0,25125.19,15370.77
9,2023-02-27,36341.0,0.0,7116.0,5587.0,3703.0,137492.28,0.0,19807.46,12947.58
10,2023-03-06,30894.0,0.0,0.0,7889.0,8045.0,138800.53,0.0,21527.56,15291.95
11,2023-03-13,32698.0,0.0,0.0,6912.0,3243.0,137422.82,0.0,20883.55,12623.48
12,2023-03-20,0.0,0.0,7341.0,7573.0,4539.0,124239.18,0.0,22760.35,13012.42
13,2023-03-27,0.0,0.0,7000.0,5139.0,3883.0,125992.96,0.0,20128.34,12470.74
14,2023-04-03,30088.0,0.0,0.0,6568.0,4140.0,125763.91,0.0,20222.59,12320.48
15,2023-04-10,29101.0,0.0,0.0,7722.0,6153.0,130605.61,1.0,21396.26,14001.86
16,2023-04-17,27637.0,0.0,0.0,7989.0,5149.0,131080.01,0.0,21895.66,13712.4
17,2023-04-24,0.0,0.0,0.0,4620.0,3420.0,116112.09,0.0,21126.2,12615.93
18,2023-05-01,0.0,0.0,0.0,5458.0,4463.0,101994.91,1.0,21176.73,13073.69
19,2023-05-08,0.0,0.0,0.0,4832.0,3407.0,101338.88,0.0,20857.85,12156.02
20,2023-05-15,0.0,0.0,0.0,6171.0,9267.0,101991.14,1.0,20996.22,16249.81
21,2023-05-22,0.0,0.0,0.0,4519.0,2924.0,90857.62,0.0,20646.4,13017.43
22,2023-05-29,0.0,0.0,0.0,5024.0,2322.0,81278.86,1.0,21209.95,10677.84
23,2023-06-05,0.0,0.0,0.0,6064.0,4675.0,95346.3,1.0,21743.49,12804.35
24,2023-06-12,0.0,0.0,0.0,9010.0,3885.0,95777.12,0.0,25236.16,12385.44
25,2023-06-19,27185.0,0.0,0.0,4239.0,12599.0,115512.0,0.0,17820.24,17081.82
26,2023-06-26,25060.0,0.0,5791.0,4681.0,4858.0,112825.52,0.0,17667.42,14720.29
27,2023-07-03,31797.0,6884.0,7613.0,7476.0,3417.0,131218.48,0.0,20647.73,12505.97
28,2023-07-10,0.0,9129.0,0.0,6239.0,5105.0,119058.43,0.0,20916.77,13446.06
29,2023-07-17,0.0,0.0,6523.0,4401.0,3227.0,111463.96,0.0,18772.35,11920.37
30,2023-07-24,0.0,0.0,6702.0,5944.0,8336.0,114606.32,0.0,20104.81,15543.14
