week_start,layer,revenue,orders,promo_flag,advent_flag,jan_dip_flag,spring_flag,schulbeginn_flag,summer_lull_flag,spend_search_brand,spend_search_generic,spend_meta,spend_display_video,spend_print_regional,spend_radio,spend_other
2021-01-04,P-SA,75515.378253,795,0,0,0,0,0,0,653.000000,2698.000000,1907.000000,1090.000000,0.000000,0.000000,0.000000
2021-01-11,P-SA,66664.803797,702,0,0,1,0,0,0,578.000000,2791.000000,2266.000000,989.000000,0.000000,0.000000,0.000000
2021-01-18,P-SA,72696.229779,765,0,0,1,0,0,0,736.000000,2741.000000,2547.000000,1089.000000,0.000000,0.000000,0.000000
2021-01-25,P-SA,64094.842877,675,0,0,1,0,0,0,745.000000,2139.000000,1714.000000,1143.000000,0.000000,0.000000,0.000000
2021-02-01,P-SA,73012.449322,769,0,0,1,0,0,0,681.000000,2580.000000,1744.000000,1240.000000,0.000000,0.000000,0.000000
2021-02-08,P-SA,95194.366204,1002,1,0,0,0,0,0,722.000000,2637.000000,3935.000000,1330.000000,0.000000,0.000000,0.000000
2021-02-15,P-SA,83176.749238,876,0,0,0,0,0,0,803.000000,2383.000000,1892.000000,1294.000000,0.000000,0.000000,0.000000
2021-02-22,P-SA,80408.948661,846,0,0,0,0,0,0,764.000000,2665.000000,1692.000000,1517.000000,0.000000,0.000000,0.000000
2021-03-01,P-SA,81700.100218,860,0,0,0,0,0,0,742.000000,2272.000000,2315.000000,907.000000,0.000000,0.000000,0.000000
2021-03-08,P-SA,79265.870487,834,0,0,0,0,0,0,741.000000,2281.000000,1496.000000,1175.000000,0.000000,0.000000,0.000000
2021-03-15,P-SA,84804.992429,893,0,0,0,0,0,0,648.000000,2330.000000,1795.000000,1592.000000,0.000000,0.000000,0.000000
2021-03-22,P-SA,88229.585250,929,1,0,0,0,0,0,758.000000,2352.000000,3890.000000,1155.000000,0.000000,0.000000,0.000000
2021-03-29,P-SA,78194.368259,823,0,0,0,0,0,0,601.000000,2294.000000,1812.000000,1013.000000,0.000000,0.000000,0.000000
2021-04-05,P-SA,98715.921368,1039,0,0,0,1,0,0,680.000000,3194.000000,2229.000000,1089.000000,5680.000000,3421.000000,0.000000
2021-04-12,P-SA,92574.388613,974,0,0,0,1,0,0,674.000000,2781.000000,1632.000000,1057.000000,5678.000000,3839.000000,0.000000
2021-04-19,P-SA,103262.305831,1087,0,0,0,1,0,0,596.000000,2905.000000,2233.000000,1128.000000,0.000000,3727.000000,0.000000
