week,week_start,channel,median,lo,hi,revenue
1,2015-11-23,Baseline,2243360.963910034,,,2754371.66666667
1,2015-11-23,TV,174442.36116501165,76632.05460186831,289119.663197495,2754371.66666667
1,2015-11-23,Out-of-home,0.0,0.0,0.0,2754371.66666667
1,2015-11-23,Print,77078.940271209,14617.061408594973,161764.4335043205,2754371.66666667
1,2015-11-23,Facebook,100578.58519157504,24232.277496057715,194856.1444441164,2754371.66666667
1,2015-11-23,Search,0.0,0.0,0.0,2754371.66666667
2,2015-11-30,Baseline,2191213.5784531785,,,2584276.66666667
2,2015-11-30,TV,226554.01879743912,129400.10323400584,334706.4850442118,2584276.66666667
2,2015-11-30,Out-of-home,0.0,0.0,0.0,2584276.66666667
2,2015-11-30,Print,22266.730786883105,1039.2461648151248,108821.80178217751,2584276.66666667
2,2015-11-30,Facebook,56990.48614808281,9518.916722082298,130396.980770806,2584276.66666667
2,2015-11-30,Search,24665.11743070637,1699.2217297380787,115285.93053819767,2584276.66666667
3,2015-12-07,Baseline,2277134.5818382585,,,2547386.66666667
3,2015-12-07,TV,55683.81879472862,10072.348850326684,155570.0825165207,2547386.66666667
3,2015-12-07,Out-of-home,76173.5914106023,9414.939203832211,187343.87026948293,2547386.66666667
3,2015-12-07,Print,10302.946503409144,196.7674138479484,87491.3663532005,2547386.66666667
3,2015-12-07,Facebook,80982.61714718741,18421.799138957304,164934.9149702281,2547386.66666667
3,2015-12-07,Search,32665.92614189343,2600.742945248876,138638.64498846032,2547386.66666667
4,2015-12-14,Baseline,2227350.319690787,,,2875220.0
4,2015-12-14,TV,376955.03969011584,268559.82706456224,483233.94904058136,2875220.0
4,2015-12-14,Out-of-home,47680.967904029865,2312.650818308756,151866.56290260103,2875220.0
4,2015-12-14,Print,98993.53260177028,20557.52652785038,193628.20444507,2875220.0
4,2015-12-14,Facebook,72007.81956095733,14703.54864900962,151823.27493323147,2875220.0
4,2015-12-14,Search,38856.59583124211,3424.337060481632,154026.2780556373,2875220.0
5,2015-12-21,Baseline,1982619.7485146709,,,2215953.33333333
5,2015-12-21,TV,127392.2048210557,38021.34517681746,252411.7543258945,2215953.33333333
5,2015-12-21,Out-of-home,112070.765199645,17703.915446728486,241274.6048632452,2215953.33333333
5,2015-12-21,Print,31275.637995163437,2084.469856757678,126314.02414021605,2215953.33333333
5,2015-12-21,Facebook,37824.361307261934,4466.10982854131,106692.98937800546,2215953.33333333
5,2015-12-21,Search,37723.67366528009,3131.2282353293863,158607.90310099613,2215953.33333333
6,2015-12-28,Baseline,1966329.9564226568,,,2569921.66666667
6,2015-12-28,TV,244927.24257887024,150033.48002282582,351516.3687519558,2569921.66666667
6,2015-12-28,Out-of-home,78276.3710257962,6443.788144621675,203001.74769646817,2569921.66666667
6,2015-12-28,Print,134404.69160557754,28129.46496809832,275360.56347746844,2569921.66666667
6,2015-12-28,Facebook,88803.37071902436,21242.4730512854,176520.04567486997,2569921.66666667
6,2015-12-28,Search,38743.66778130764,3222.0442245781774,163125.45571847988,2569921.66666667
7,2016-01-04,Baseline,1922450.1145396105,,,2171506.66666667
7,2016-01-04,TV,69260.33241234707,15046.57291102484,175526.17723558846,2171506.66666667
7,2016-01-04,Out-of-home,110535.69897744496,17084.342668827583,240585.03949757252,2171506.66666667
7,2016-01-04,Print,53702.676660609766,5773.41205956259,159824.91035409836,2171506.66666667
7,2016-01-04,Facebook,83314.30616009564,18314.406924049184,169378.88311052872,2171506.66666667
7,2016-01-04,Search,38613.60892941032,3180.9051665012944,165109.03675170467,2171506.66666667
8,2016-01-11,Baseline,2010990.0835601497,,,2464131.66666667
8,2016-01-11,TV,47102.64163747549,7970.380612000919,140756.22557757836,2464131.66666667
8,2016-01-11,Out-of-home,78129.88764813112,5794.6677092732325,204963.44548930277,2464131.66666667
8,2016-01-11,Print,122527.92330973812,25809.280685304417,240113.9167479448,2464131.66666667
8,2016-01-11,Facebook,87368.72971325525,19924.83948327376,176742.39108416656,2464131.66666667
8,2016-01-11,Search,42370.533304638826,3666.239753195409,172434.3334877587,2464131.66666667
9,2016-01-18,Baseline,1824675.345366732,,,2012520.0
9,2016-01-18,TV,8786.78945237221,396.3870541752908,55446.58466789494,2012520.0
9,2016-01-18,Out-of-home,51018.64526739228,1036.1895890929957,175550.44557781285,2012520.0
