same_total,plus_25_percent,plus_extra_budget
46697.076050179254,74504.18283500388,53906.255198786384
46880.726946934476,80581.45662602759,55984.53217221983
43748.581251561234,81899.53457136475,54172.524283836596
69027.41275345325,112938.21532859677,80625.5768798556
75733.37216180057,125490.33240176097,87937.29727074504
64967.97779952886,103783.85550209798,75057.80218274216
70757.95408829616,110900.79910845467,81124.97246986267
41636.92156062252,73887.00094119844,49683.854389022454
57454.864248520986,98098.60919327656,68825.75064343394
98296.2260693193,150506.39177406894,110844.32931629056
82023.52978457016,130133.33946875687,94210.28970240551
91216.72844424506,141780.49216260773,104282.39287388464
37669.12498122675,69790.09993949963,46909.87318784057
37795.221012212336,62270.93812010391,44650.5808689181
83515.16155534016,123228.05719691853,92995.71702820307
69201.82987853076,101654.67646012834,76912.77846247837
117222.75447961816,178925.38559079386,131638.14861316123
29370.147167733347,53433.94907187106,36078.30288456142
89944.39503311738,134436.93852714496,100951.28099939926
77542.8855398699,133928.94140576618,92625.17003571836
59247.14063141879,89348.60130995465,66704.49072030548
48828.40340474842,83499.04847315728,58110.27603154932
37311.40807758266,86040.16741091764,51603.629635809746
45022.573700912995,75000.02923854743,52806.64041349664
38671.50049255311,67363.36947898183,46524.54427418555
42357.770723566355,73697.28520132194,50869.1077102063
62254.90203093516,91766.5089667855,69256.79208546621
65860.89664945111,102428.41673738789,75019.45893118542
91290.02940155391,152513.93405840697,106825.84212283697
79108.3749575803,123206.99903491314,90331.83377809671
58073.23066655244,89316.07505805173,65530.19940686622
81101.58074648504,130424.43343771738,93131.86150317581
71585.27108682494,121381.72411962238,84366.72147817595
71566.33412828017,105037.59584941145,79500.23000900215
52118.30638994975,100848.083005692,65704.10274222714
67125.75998444,107117.24309584929,76307.05816306459
31917.60291528306,49331.01791944087,36460.567726503476
47301.20537619083,83180.51309038932,56940.42282927269
54932.10430300754,89198.41507090832,64078.51511520549
56469.4120153907,94260.87006799027,66176.2384538945
73536.56040032709,107263.51377535297,81627.32075235364
59524.67168901424,102104.82631571603,70901.84217400907
69771.48798359791,105276.13053400558,78617.02542210906
51408.34424029605,91379.83348025056,62020.497029118706
73226.61049313238,123918.4317141748,86537.05180210806
73589.6335928007,109773.26400705543,82361.75513069285
55727.12466223934,87541.5656865738,63667.86839966156
61195.367243316316,89075.61075316655,67910.85242087237
65321.43961784511,101279.58815839444,73923.64012483659
41214.27443847223,81415.5864688683,52327.27800741425
51344.560238048434,98668.19588689297,64346.0158439416
70941.51319277089,112321.67995376326,81875.33926609054
56808.08158113528,92222.79562811891,65830.50332413183
66489.4094496062,100710.98303712078,74236.45133243588
96252.38900881005,142243.84453242883,107282.20182190795
71383.27539115492,114064.04754366283,82757.00918205385
62577.74083759531,92780.41665824363,69988.19526189659
48129.03870994056,71937.80245526932,53994.643025505764
66133.23354093242,104130.38430172141,75829.56124809076
77499.32558131404,120260.02450682339,88449.96168971388
41141.90779390035,69583.04215226322,48386.717893225024
51846.21173332102,87579.76154499775,60960.933403400355
58673.16099720076,97432.91100658517,69116.18398374761
68612.21120714553,116546.57754791144,80968.30975608045
55629.607407327276,95339.26797707216,66344.38927662373
61557.27030056837,98003.49469083286,70792.67796400242
35128.35988721438,56632.61923243897,40771.928514021565
80426.03231446672,119722.89340617147,89625.88241794863
74623.15593100566,127040.61678485345,87393.00574055157
76089.06340432132,121313.05018562695,87902.17495077348
79171.28044601041,115235.28260067292,87776.85411912552
41860.48316352547,64195.457201457,47391.13059164712
92186.7367850657,161170.5206954071,107652.7547386761
38374.96006509458,69592.0789393023,46475.58730443276
57377.77625169448,102530.90915278933,69603.28563916974
68090.88425553677,101032.23904500197,76019.14695928415
82900.73958852887,137534.60998076154,96641.92527017812
66031.22323521477,104515.70062225044,75481.62435303663
69349.49351480725,119949.38118909474,81335.6147808992
81819.6114340293,135326.9548797944,95437.08969927242
65648.35005590791,105185.77565899777,75906.79357512732
60507.2103578035,91063.03375274816,68159.79826707311
53408.61184201902,87904.21095597662,62235.04376177536
76004.58811277931,116487.24860327656,86094.83876026561
88958.17075133638,133101.31992212718,99848.8694209865
71257.31331827282,111461.34947710519,81249.12525232404
70603.4774940532,100414.740245466,77518.93823303899
63306.58497875347,109617.06615706335,75187.97386754141
75993.68035955209,112588.95872785425,85718.04361734603
59391.342560419,100194.98981336528,69758.65910049796
55886.40684827813,89958.01248058741,64300.177093569306
90699.2060446709,138156.08095784474,102648.6597200851
51895.007420723094,89710.01071865938,62388.752497775364
38549.62705121469,67162.35468282667,46416.80614507734
35020.902284310374,54852.725985053694,40108.02178213472
25201.670223155874,51761.642459935625,31718.797366529354
79653.91963219346,131808.03205572738,93135.53679476859
67509.54214258963,111614.83056750917,78669.51396521693
49050.381969719136,84875.20417259278,58062.72468722897
69671.56782416103,109291.68050080311,79044.49189666577
67707.0567881004,121476.6652173606,82626.87957652553
55130.16470512061,93951.73743750126,65783.60240914539
62237.87849765021,111813.2336617391,75555.56389720557
110042.3502066696,169720.79759695334,124253.61431583844
99918.19305762503,147710.8096591711,112249.96933740686
73949.53940591228,107085.74302868056,81772.79578023544
77417.08569872851,117820.4392806312,87583.36995089316
88590.26107113424,133210.2539900958,99888.51598849753
45137.28687368194,70584.01303345966,51366.18652861926
65048.938165473635,100601.55417213065,73273.11521172978
91772.50726715557,139757.94898772624,103184.33488649828
67338.12480849406,103766.68196332076,76485.60737114988
46817.38952964172,74453.95445741579,54009.20663190988
100850.96408042079,152275.04512152472,113418.87104833755
70724.76573673607,104221.52791220532,78881.4181393754
78399.2504585433,115968.43428303488,86948.58952224132
119228.99589117803,174041.08445323096,132170.6777169234
53887.59437485447,89467.4438405881,63073.62392149493
80282.41743059893,127678.01618494099,92741.06949527789
29844.262023460702,64533.16249273019,40125.005413252744
40606.86323897529,77506.93228799006,49587.45023880061
77324.47403504618,114028.87662718055,86110.81172526692
63546.89092242083,104380.09396875853,74117.34978513274
71705.70210417127,106454.28800655378,80105.2966830827
70661.84499333176,111139.553197334,80806.1336867031
37517.621609482594,62902.552325925935,43580.73032356525
74206.13023786753,118616.04124515993,85306.76778563403
87407.60754886421,131108.3971918421,97647.9990245261
66545.9322240164,102644.92442917853,75744.45096295857
64966.434535283304,102311.79860114801,74602.40881441178
68574.63287663145,112105.91217272007,80250.3138048693
31441.97194924025,69406.67589699075,42199.11384631804
64922.47865504888,94236.19224884885,71972.73678613314
104922.59973580908,151349.76495321246,115545.20806341781
42039.6925384216,69834.48669889348,49400.84480874165
68232.62452649599,95840.12603713735,74732.44577237836
24903.202942400327,58787.1500832164,34529.919398320286
64437.23045656853,110715.00663682423,76878.8163935548
35767.81466123066,65544.97154487367,43997.51590003248
37810.10421420541,60180.89267216285,43522.78245723026
63952.04215696486,109489.39996531405,75366.64542696349
72811.32847491826,107698.99244131835,81337.7527564154
37935.17155311257,71947.57015316648,47427.69909875409
51392.090123898466,84084.0445559735,59877.6081375365
57607.659323551576,98680.61994812312,68506.22701278632
81426.71888080938,125568.91500936705,92839.98225002992
77722.89927874936,123450.8827351259,88977.11425149266
69575.01596176991,99258.30240028445,76520.25859930768
58834.09492905857,90314.81691094226,66490.48132718232
72636.51572938799,108633.24518746953,81408.21063832764
35924.99760354805,75739.94350874354,47367.488589660905
