parameter,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,0.583,0.097,0.442,0.732,0.005,0.004,436.0,438.0,1.0
trend,0.109,0.011,0.09,0.127,0.0,0.0,2121.0,1352.0,1.0
seasonality_sin[1],-0.034,0.004,-0.04,-0.028,0.0,0.0,2361.0,1786.0,1.0
seasonality_sin[2],-0.019,0.004,-0.026,-0.013,0.0,0.0,2509.0,1593.0,1.0
seasonality_cos[1],0.073,0.006,0.063,0.081,0.0,0.0,2001.0,1582.0,1.0
seasonality_cos[2],-0.011,0.004,-0.017,-0.006,0.0,0.0,2252.0,1621.0,1.0
control,-0.028,0.006,-0.037,-0.018,0.0,0.0,2871.0,1459.0,1.0
decay_logodds__[0],0.285,0.136,0.073,0.506,0.003,0.004,2129.0,1173.0,1.0
decay_logodds__[1],-0.865,0.538,-1.632,0.056,0.012,0.016,2145.0,1362.0,1.0
decay_logodds__[2],0.134,0.329,-0.376,0.631,0.008,0.009,2116.0,1200.0,1.0
decay_logodds__[3],-0.656,0.535,-1.385,0.238,0.013,0.019,1885.0,1302.0,1.0
decay_logodds__[4],-0.58,0.684,-1.603,0.476,0.018,0.025,1712.0,1565.0,1.0
half_saturation_log__[0],0.519,0.389,-0.088,1.161,0.013,0.009,889.0,1200.0,1.0
half_saturation_log__[1],0.775,0.58,-0.11,1.754,0.014,0.014,1744.0,1328.0,1.0
half_saturation_log__[2],0.679,0.595,-0.284,1.59,0.016,0.015,1391.0,1314.0,1.0
half_saturation_log__[3],0.684,0.649,-0.197,1.844,0.024,0.021,848.0,728.0,1.0
half_saturation_log__[4],0.302,0.826,-0.92,1.623,0.032,0.027,746.0,497.0,1.0
slope_log__[0],-0.06,0.187,-0.34,0.27,0.006,0.004,1122.0,1268.0,1.0
slope_log__[1],-0.032,0.306,-0.523,0.449,0.007,0.008,2161.0,1481.0,1.0
slope_log__[2],0.082,0.294,-0.415,0.535,0.007,0.007,1845.0,1470.0,1.0
slope_log__[3],0.014,0.427,-0.629,0.742,0.014,0.01,984.0,1280.0,1.01
slope_log__[4],-0.056,0.48,-0.821,0.726,0.013,0.01,1372.0,1133.0,1.0
effect_log__[0],-0.88,0.189,-1.196,-0.582,0.006,0.004,896.0,1068.0,1.0
effect_log__[1],-1.903,0.356,-2.486,-1.325,0.009,0.008,1591.0,1190.0,1.0
effect_log__[2],-1.92,0.346,-2.466,-1.346,0.009,0.007,1430.0,1388.0,1.0
effect_log__[3],-1.462,0.433,-2.186,-0.775,0.017,0.013,656.0,750.0,1.01
effect_log__[4],-1.825,0.574,-2.732,-0.927,0.027,0.033,508.0,636.0,1.0
noise_log__,-3.589,0.061,-3.686,-3.489,0.002,0.001,1582.0,1338.0,1.0
decay[TV],0.57,0.033,0.52,0.626,0.001,0.001,2129.0,1173.0,1.0
decay[Radio],0.308,0.102,0.129,0.471,0.002,0.002,2145.0,1362.0,1.0
decay[Print],0.533,0.08,0.407,0.653,0.002,0.002,2116.0,1200.0,1.0
decay[Paid Search],0.352,0.107,0.175,0.524,0.002,0.002,1885.0,1302.0,1.0
decay[Paid Social],0.374,0.136,0.156,0.6,0.003,0.003,1712.0,1565.0,1.0
half_saturation[TV],1.819,0.788,0.796,2.949,0.027,0.03,889.0,1200.0,1.0
half_saturation[Radio],2.538,1.425,0.562,4.616,0.033,0.039,1744.0,1328.0,1.0
half_saturation[Print],2.328,1.354,0.407,4.268,0.037,0.035,1391.0,1314.0,1.0
half_saturation[Paid Search],2.389,1.417,0.301,4.472,0.044,0.037,848.0,728.0,1.0
half_saturation[Paid Social],1.825,1.394,0.05,3.689,0.043,0.044,746.0,497.0,1.0
slope[TV],0.959,0.181,0.655,1.233,0.005,0.003,1122.0,1268.0,1.0
slope[Radio],1.015,0.323,0.53,1.473,0.007,0.014,2161.0,1481.0,1.0
slope[Print],1.134,0.35,0.607,1.652,0.008,0.01,1845.0,1470.0,1.0
slope[Paid Search],1.112,0.501,0.419,1.87,0.015,0.016,984.0,1280.0,1.01
slope[Paid Social],1.061,0.545,0.305,1.823,0.014,0.018,1372.0,1133.0,1.0
effect[TV],0.423,0.082,0.289,0.544,0.003,0.002,896.0,1068.0,1.0
effect[Radio],0.159,0.059,0.071,0.243,0.001,0.002,1591.0,1190.0,1.0
effect[Print],0.156,0.055,0.067,0.233,0.001,0.001,1430.0,1388.0,1.0
effect[Paid Search],0.253,0.107,0.08,0.404,0.004,0.004,656.0,750.0,1.01
effect[Paid Social],0.187,0.1,0.043,0.337,0.004,0.004,508.0,636.0,1.0
noise,0.028,0.002,0.025,0.03,0.0,0.0,1582.0,1338.0,1.0
