channel,spend,median,lo,hi,current_spend,observed_max_spend,true,inside
TV,0.0,0.0,0.0,0.0,11479.301282051281,42127.0,0.0,True
TV,1579.7625,3935.857093273732,2055.4923463618516,6424.152160936877,11479.301282051281,42127.0,1505.4281695796487,False
TV,3159.525,7058.92142301642,4687.132875637185,9877.321096117159,11479.301282051281,42127.0,3742.020308933718,False
TV,4739.2875,9741.091768236522,7205.3368216488425,12541.4077440029,11479.301282051281,42127.0,6160.959353607176,False
TV,6319.05,12091.228224801998,9685.07472342569,14696.5625836206,11479.301282051281,42127.0,8562.375272438157,False
TV,7898.8125,14141.747425687208,11905.535213352465,16556.40965292983,11479.301282051281,42127.0,10850.498350463411,False
TV,9478.575,16007.031325930588,13907.525392537244,18191.46179294695,11479.301282051281,42127.0,12981.674689945125,False
TV,11058.3375,17661.42990541156,15697.167110496424,19655.804307213242,11479.301282051281,42127.0,14940.60928183761,False
TV,12638.1,19149.113445783507,17303.033389505363,21059.43741878623,11479.301282051281,42127.0,16727.46699348824,False
TV,14217.862500000001,20517.84996974151,18761.980726610127,22299.333514653477,11479.301282051281,42127.0,18350.500611225696,False
TV,15797.625,21759.6620572256,20110.198488892,23430.489549321068,11479.301282051281,42127.0,19821.797176645036,False
TV,17377.3875,22900.058303435282,21326.777075111284,24526.676126499915,11479.301282051281,42127.0,21154.848908792752,False
TV,18957.15,23956.081646420884,22426.593712442904,25572.197895275094,11479.301282051281,42127.0,22363.202988132114,False
TV,20536.912500000002,24937.69045138122,23381.00129722351,26557.115504584315,11479.301282051281,42127.0,23459.748389006443,True
TV,22116.675,25852.944060037462,24279.22249205173,27473.127094999338,11479.301282051281,42127.0,24456.375436329075,True
TV,23696.4375,26675.203886901832,25094.656089761782,28333.58774317451,11479.301282051281,42127.0,25363.84964070055,True
TV,25276.2,27477.783917729812,25809.079725400083,29159.936739725203,11479.301282051281,42127.0,26191.80507150033,True
TV,26855.9625,28223.578755214643,26485.124896685717,29962.66900412889,11479.301282051281,42127.0,26948.80098166541,True
TV,28435.725000000002,28914.96083648947,27081.744689839346,30705.93037208049,11479.301282051281,42127.0,27642.408621184284,True
TV,30015.4875,29547.199569907403,27631.395161997705,31418.434312826852,11479.301282051281,42127.0,28279.309179400345,True
TV,31595.25,30174.21449179566,28161.10939178513,32126.41539080804,11479.301282051281,42127.0,28865.39220678943,True
TV,33175.012500000004,30760.333838530496,28640.744856744994,32778.79065590009,11479.301282051281,42127.0,29405.84888248565,True
TV,34754.775,31283.83796857471,29088.013489757264,33437.05510675573,11479.301282051281,42127.0,29905.25744918515,True
TV,36334.5375,31791.986725561408,29531.611236188815,34068.089527680684,11479.301282051281,42127.0,30367.65984453878,True
TV,37914.3,32293.70203004567,29901.571933267627,34653.7673396611,11479.301282051281,42127.0,30796.629512996864,True
TV,39494.0625,32753.7871568041,30235.088443221786,35213.86474422378,11479.301282051281,42127.0,31195.33088643533,True
TV,41073.825000000004,33183.316979677504,30545.07789899356,35792.75216717684,11479.301282051281,42127.0,31566.571260031287,True
TV,42653.5875,33598.46399047626,30847.40245887698,36313.38093891216,11479.301282051281,42127.0,31912.845873888033,True
TV,44233.35,34001.46436462862,31147.941267438386,36833.30475580376,11479.301282051281,42127.0,32236.377008746163,True
TV,45813.1125,34374.964755374094,31422.77096674511,37349.35463965709,11479.301282051281,42127.0,32539.14785654964,True
TV,47392.875,34723.44839020175,31667.786867374274,37818.308963074174,11479.301282051281,42127.0,32822.93185783783,True
TV,48972.637500000004,35076.911133832684,31917.156602796338,38303.13385503878,11479.301282051281,42127.0,33089.31812191616,True
TV,50552.4,35414.29075511539,32170.597060622997,38749.76695080245,11479.301282051281,42127.0,33339.733470354,True
TV,52132.1625,35735.17233394949,32425.43548596148,39178.53929740807,11479.301282051281,42127.0,33575.46157367651,True
TV,53711.925,36057.4176847638,32622.93006811714,39585.28277170027,11479.301282051281,42127.0,33797.65958705637,True
TV,55291.6875,36364.62621592221,32853.80032156071,39960.766796937656,11479.301282051281,42127.0,34007.37263398499,True
TV,56871.450000000004,36669.54555703535,33033.658374693085,40356.735313966914,11479.301282051281,42127.0,34205.54643721201,True
TV,58451.2125,36957.59089803498,33203.98746655448,40705.671955388185,11479.301282051281,42127.0,34393.03835320813,True
TV,60030.975,37229.56557219481,33388.15480736269,41089.790442253085,11479.301282051281,42127.0,34570.627029388066,True
TV,61610.7375,37485.14212259668,33523.588447476606,41450.978219846926,11479.301282051281,42127.0,34739.02087162783,True
TV,63190.5,37712.91542471957,33658.3047408457,41815.1603490431,11479.301282051281,42127.0,34898.86548254294,True
Radio,0.0,0.0,0.0,0.0,3003.9679487179487,12938.0,0.0,True
Radio,485.175,672.4708085371096,150.57853791695564,1971.2884232798554,3003.9679487179487,12938.0,709.9345929025044,True
Radio,970.35,1294.4762946104502,428.9475491224816,2818.9169160732513,3003.9679487179487,12938.0,1425.3481424353874,True
Radio,1455.525,1866.0739931048379,770.2243508381572,3469.2912048313037,3003.9679487179487,12938.0,2087.1505283396705,True
Radio,1940.7,2393.812711624272,1148.798594751924,4027.2497228657485,3003.9679487179487,12938.0,2689.9292256278363,True
Radio,2425.875,2884.3513572564834,1526.9516858930633,4495.485057637282,3003.9679487179487,12938.0,3236.4502841130106,True
Radio,2911.05,3346.10358915867,1932.3026316409157,4897.198035672539,3003.9679487179487,12938.0,3731.686733746662,True
Radio,3396.225,3783.595425085518,2334.9634869628153,5271.195777191997,3003.9679487179487,12938.0,4181.004831100495,True
Radio,3881.4,4182.495685549098,2750.474981731455,5608.717587772511,3003.9679487179487,12938.0,4589.519601996867,True
Radio,4366.575,4562.029999082088,3128.8090050297474,5951.758086734172,3003.9679487179487,12938.0,4961.873642886196,True
Radio,4851.75,4911.815718344533,3495.450330880341,6283.250672708619,3003.9679487179487,12938.0,5302.1860327615095,True
Radio,5336.925,5248.906535323091,3843.9493163771526,6640.910761653143,3003.9679487179487,12938.0,5614.0711316068855,True
Radio,5822.1,5566.037698094677,4164.019731380139,6965.693989857589,3003.9679487179487,12938.0,5900.684194174812,True
Radio,6307.275000000001,5862.5376731105425,4485.461184039876,7296.780728075408,3003.9679487179487,12938.0,6164.7746152131685,True
Radio,6792.45,6135.508150743344,4777.635307616254,7663.141501937772,3003.9679487179487,12938.0,6408.738315039463,True
Radio,7277.625,6402.251471621485,5034.850995589543,7947.233986272374,3003.9679487179487,12938.0,6634.665750631355,True
Radio,7762.8,6668.631155521811,5262.960173641137,8286.781553305702,3003.9679487179487,12938.0,6844.384385393867,True
Radio,8247.975,6922.944375368289,5509.39116651217,8598.065007150308,3003.9679487179487,12938.0,7039.495542754012,True
Radio,8733.15,7166.02600249254,5690.706343229655,8936.485543519733,3003.9679487179487,12938.0,7221.406047448998,True
Radio,9218.325,7401.053170301833,5882.553402607762,9260.128580979506,3003.9679487179487,12938.0,7391.355236256106,True
Radio,9703.5,7613.422577700092,6042.152649916207,9569.61316113877,3003.9679487179487,12938.0,7550.437952630825,True
Radio,10188.675000000001,7819.259669184032,6215.157682364967,9888.800851759042,3003.9679487179487,12938.0,7699.624105848939,True
Radio,10673.85,8028.654397880671,6365.447076214055,10152.598117063115,3003.9679487179487,12938.0,7839.775314462486,True
Radio,11159.025,8223.240831871753,6474.116448449349,10444.542213996963,3003.9679487179487,12938.0,7971.6590858902,True
Radio,11644.2,8395.26521349393,6581.378284980538,10752.284302195547,3003.9679487179487,12938.0,8095.960918150438,True
Radio,12129.375,8588.090961200855,6694.009249919485,11026.572726883147,3003.9679487179487,12938.0,8213.294650152462,True
Radio,12614.550000000001,8766.693355139638,6812.261604784654,11313.68036572283,3003.9679487179487,12938.0,8324.211334918504,True
Radio,13099.725,8941.38588917848,6913.953052222973,11612.059965761004,3003.9679487179487,12938.0,8429.206865609513,True
Radio,13584.9,9097.971323040478,7023.308793400046,11896.915056148116,3003.9679487179487,12938.0,8528.728546664108,True
Radio,14070.075,9250.670126567577,7119.440313974603,12153.44630679911,3003.9679487179487,12938.0,8623.18077089838,True
Radio,14555.25,9400.303215620184,7194.029771313083,12422.13955031376,3003.9679487179487,12938.0,8712.929937183892,True
Radio,15040.425000000001,9549.451050839973,7263.088973427796,12691.7463769371,3003.9679487179487,12938.0,8798.308721506903,True
Radio,15525.6,9697.777113892344,7342.569544101322,12921.224706389796,3003.9679487179487,12938.0,8879.619796088236,True
Radio,16010.775,9839.421991570876,7424.675012333214,13181.317326801363,3003.9679487179487,12938.0,8957.139076186204,True
Radio,16495.95,9960.410108126132,7472.550378349672,13416.310105642413,3003.9679487179487,12938.0,9031.118561686542,True
Radio,16981.125,10106.215343361906,7538.134481789181,13626.898746313636,3003.9679487179487,12938.0,9101.78883016251,True
Radio,17466.3,10230.832913105249,7614.69391778512,13866.957068024185,3003.9679487179487,12938.0,9169.3612293998,True
Radio,17951.475000000002,10336.942532487255,7679.136745633545,14086.402569039246,3003.9679487179487,12938.0,9234.029810123055,True
Radio,18436.65,10457.637703609114,7745.972058237276,14369.149563478311,3003.9679487179487,12938.0,9295.973033585504,True
