week,week_start,revenue,spend_TV,spend_Out-of-home,spend_Print,spend_Facebook,spend_Search,competitor_sales
1,2015-11-23,2754371.66666667,22358.3466666667,0.0,12728.4888888889,7607.1329148046,0.0,1.4671311778242795
2,2015-11-30,2584276.66666667,28613.4533333333,0.0,0.0,1141.95245035415,4133.33333333333,1.4267810523048352
3,2015-12-07,2547386.66666667,0.0,132278.4,453.866666666667,4256.37537782657,3786.66666666667,1.498764838387693
4,2015-12-14,2875220.0,83450.3066666667,0.0,17680.0,2800.49067685105,4253.33333333333,1.4667472864483986
5,2015-12-21,2215953.33333333,0.0,277336.0,0.0,689.582605192027,3613.33333333333,1.283126227017307
6,2015-12-28,2569921.66666667,33225.3066666667,0.0,31922.3111111111,5337.0051734019,3773.33333333333,1.2815466024847548
7,2016-01-04,2171506.66666667,687.053333333333,226753.6,0.0,3623.01223287033,3706.66666666667,1.2593601728219581
8,2016-01-11,2464131.66666667,2952.22666666667,0.0,23581.2888888889,4129.8161531585,4266.66666666667,1.3456375024287939
9,2016-01-18,2012520.0,0.0,0.0,0.0,3623.01223287033,3053.33333333333,1.210461512252207
10,2016-01-25,1738911.66666667,0.0,0.0,11243.9111111111,3002.69058507969,3053.33333333333,0.999524938242093
11,2016-02-01,1772306.66666667,16511.8266666667,42477.3333333333,0.0,0.0,2746.66666666667,0.9895401510733685
12,2016-02-08,1809058.33333333,0.0,0.0,4763.55555555556,3564.38219778663,2693.33333333333,1.0604002513462043
13,2016-02-15,1952740.0,66276.44,0.0,2448.4,1448.59774023091,0.0,1.0514445314169647
14,2016-02-22,1507805.0,0.0,0.0,0.0,0.0,0.0,0.9077465499493632
15,2016-02-29,1510391.66666667,41556.2933333333,0.0,0.0,2415.59640398059,2293.33333333333,0.8236723523637515
16,2016-03-07,1588840.0,0.0,0.0,16506.0888888889,0.0,2826.66666666667,0.902164776566847
17,2016-03-14,1605990.0,19772.44,43994.1333333333,0.0,0.0,2373.33333333333,0.8917673874254566
18,2016-03-21,1356010.0,0.0,0.0,0.0,0.0,2293.33333333333,0.8162446140068091
19,2016-03-28,2103936.66666667,0.0,66088.5333333333,13579.4222222223,6471.04840519463,2533.33333333333,0.8138132417696332
20,2016-04-04,1120835.0,0.0,0.0,0.0,20.8373114038425,1906.66666666667,0.6750608863104989
21,2016-04-11,1141140.0,0.0,66413.8666666667,0.0,0.0,1866.66666666667,0.6805541804953755
22,2016-04-18,1166880.0,11126.7333333333,0.0,0.0,2348.68785330482,1786.66666666667,0.6614966641727779
23,2016-04-25,888806.666666667,0.0,0.0,0.0,0.0,1800.0,0.5345730745890922
24,2016-05-02,898873.333333333,0.0,0.0,12518.5777777778,0.0,1266.66666666667,0.5167708794542292
25,2016-05-09,889373.333333334,0.0,49957.8666666667,0.0,0.0,1426.66666666667,0.5311397205810965
26,2016-05-16,1915375.0,0.0,0.0,0.0,3673.93077397783,0.0,0.5487783194852219
27,2016-05-23,1006845.0,0.0,124442.666666667,0.0,0.0,0.0,0.5945227869440193
