parameter,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,0.128,0.106,-0.045,0.297,0.004,0.002,809.0,1296.0,1.0
trend,0.001,0.056,-0.086,0.096,0.001,0.001,1495.0,2074.0,1.0
seasonality_sin[1],0.037,0.016,0.01,0.064,0.0,0.0,3172.0,2799.0,1.0
seasonality_sin[2],-0.004,0.015,-0.028,0.019,0.0,0.0,4533.0,2911.0,1.0
seasonality_cos[1],0.056,0.05,-0.027,0.137,0.002,0.001,901.0,1681.0,1.0
seasonality_cos[2],0.033,0.014,0.008,0.055,0.0,0.0,5320.0,2863.0,1.0
control,0.688,0.092,0.542,0.84,0.003,0.002,764.0,1412.0,1.0
decay_logodds__[0],-1.647,0.741,-2.83,-0.492,0.012,0.013,4150.0,2868.0,1.0
decay_logodds__[1],-0.162,0.848,-1.447,1.272,0.013,0.017,4662.0,2825.0,1.0
decay_logodds__[2],-0.986,0.998,-2.527,0.763,0.015,0.018,4153.0,2855.0,1.0
decay_logodds__[3],-0.758,0.861,-2.113,0.668,0.013,0.016,4435.0,2518.0,1.0
decay_logodds__[4],-0.431,0.995,-2.037,1.143,0.018,0.023,3061.0,2297.0,1.0
half_saturation_log__[0],0.627,0.528,-0.222,1.512,0.011,0.01,2515.0,2295.0,1.0
half_saturation_log__[1],0.495,0.803,-0.793,1.724,0.013,0.015,4622.0,2444.0,1.0
half_saturation_log__[2],0.713,0.714,-0.3,1.858,0.018,0.038,2944.0,1481.0,1.0
half_saturation_log__[3],0.665,0.64,-0.358,1.672,0.011,0.011,3814.0,2889.0,1.0
half_saturation_log__[4],0.823,0.65,-0.104,1.892,0.017,0.016,1793.0,1396.0,1.0
slope_log__[0],-0.016,0.362,-0.616,0.58,0.006,0.005,3297.0,2730.0,1.0
slope_log__[1],-0.117,0.479,-0.895,0.67,0.007,0.008,4979.0,3021.0,1.0
slope_log__[2],0.054,0.516,-0.806,0.875,0.007,0.008,4944.0,2673.0,1.0
slope_log__[3],0.13,0.462,-0.638,0.89,0.007,0.007,4707.0,2891.0,1.0
slope_log__[4],0.163,0.5,-0.637,0.983,0.01,0.007,2799.0,2616.0,1.0
effect_log__[0],-1.024,0.282,-1.49,-0.577,0.006,0.004,2312.0,2762.0,1.0
effect_log__[1],-2.461,0.915,-3.623,-1.244,0.031,0.067,1601.0,1056.0,1.0
effect_log__[2],-2.285,0.814,-3.465,-1.079,0.028,0.039,1392.0,577.0,1.0
effect_log__[3],-2.227,0.809,-3.2,-1.098,0.027,0.062,1712.0,1099.0,1.0
effect_log__[4],-2.42,1.109,-4.013,-0.826,0.044,0.056,820.0,751.0,1.0
noise_log__,-1.954,0.052,-2.034,-1.866,0.001,0.001,4726.0,2939.0,1.0
decay[TV],0.184,0.096,0.029,0.327,0.001,0.001,4150.0,2868.0,1.0
decay[Out-of-home],0.466,0.179,0.19,0.781,0.003,0.002,4662.0,2825.0,1.0
decay[Print],0.306,0.178,0.024,0.567,0.003,0.003,4153.0,2855.0,1.0
decay[Facebook],0.342,0.168,0.085,0.619,0.003,0.003,4435.0,2518.0,1.0
decay[Search],0.415,0.196,0.088,0.718,0.003,0.003,3061.0,2297.0,1.0
half_saturation[TV],2.134,1.099,0.474,3.656,0.021,0.021,2515.0,2295.0,1.0
half_saturation[Out-of-home],2.153,1.533,0.089,4.208,0.021,0.032,4622.0,2444.0,1.0
half_saturation[Print],2.515,1.544,0.341,4.877,0.025,0.034,2944.0,1481.0,1.0
half_saturation[Facebook],2.342,1.422,0.312,4.333,0.023,0.03,3814.0,2889.0,1.0
half_saturation[Search],2.725,1.551,0.423,4.937,0.032,0.029,1793.0,1396.0,1.0
slope[TV],1.051,0.389,0.443,1.599,0.007,0.007,3297.0,2730.0,1.0
slope[Out-of-home],0.998,0.507,0.314,1.712,0.008,0.011,4979.0,3021.0,1.0
slope[Print],1.199,0.619,0.31,2.043,0.009,0.013,4944.0,2673.0,1.0
slope[Facebook],1.266,0.613,0.393,2.099,0.009,0.016,4707.0,2891.0,1.0
slope[Search],1.328,0.665,0.406,2.317,0.012,0.013,2799.0,2616.0,1.0
effect[TV],0.374,0.103,0.209,0.531,0.002,0.002,2312.0,2762.0,1.0
effect[Out-of-home],0.112,0.07,0.0,0.208,0.001,0.001,1601.0,1056.0,1.0
effect[Print],0.131,0.086,0.001,0.238,0.002,0.002,1392.0,577.0,1.0
effect[Facebook],0.134,0.079,0.0,0.237,0.002,0.001,1712.0,1099.0,1.0
effect[Search],0.134,0.104,0.0,0.273,0.003,0.002,820.0,751.0,1.0
noise,0.142,0.007,0.13,0.154,0.0,0.0,4726.0,2939.0,1.0
