week,week_start,revenue,baseline_median,TV median,TV lo,TV hi,Out-of-home median,Out-of-home lo,Out-of-home hi,Print median,Print lo,Print hi,Facebook median,Facebook lo,Facebook hi,Search median,Search lo,Search hi
1,2015-11-23,2754371.66666667,2243360.963910034,174442.36116501165,76632.05460186831,289119.663197495,0.0,0.0,0.0,77078.940271209,14617.061408594973,161764.4335043205,100578.58519157505,24232.277496057715,194856.14444411642,0.0,0.0,0.0
2,2015-11-30,2584276.66666667,2191213.5784531785,226554.01879743912,129400.10323400584,334706.4850442118,0.0,0.0,0.0,22266.730786883105,1039.2461648151248,108821.80178217751,56990.48614808281,9518.916722082298,130396.98077080601,24665.117430706374,1699.2217297380787,115285.93053819769
3,2015-12-07,2547386.66666667,2277134.5818382585,55683.81879472862,10072.348850326684,155570.0825165207,76173.5914106023,9414.939203832211,187343.87026948293,10302.946503409144,196.7674138479484,87491.3663532005,80982.61714718741,18421.799138957304,164934.9149702281,32665.92614189343,2600.742945248876,138638.64498846032
4,2015-12-14,2875220.0,2227350.319690787,376955.03969011584,268559.82706456224,483233.94904058136,47680.967904029865,2312.6508183087562,151866.56290260103,98993.53260177029,20557.52652785038,193628.20444507,72007.81956095733,14703.548649009621,151823.27493323147,38856.59583124211,3424.337060481632,154026.2780556373
5,2015-12-21,2215953.33333333,1982619.7485146709,127392.2048210557,38021.345176817464,252411.7543258945,112070.76519964499,17703.915446728486,241274.60486324516,31275.637995163434,2084.469856757678,126314.02414021605,37824.361307261934,4466.10982854131,106692.98937800546,37723.67366528009,3131.2282353293863,158607.90310099613
6,2015-12-28,2569921.66666667,1966329.9564226568,244927.24257887024,150033.48002282582,351516.3687519558,78276.3710257962,6443.788144621675,203001.74769646817,134404.69160557754,28129.46496809832,275360.56347746844,88803.37071902436,21242.473051285397,176520.04567486997,38743.66778130764,3222.0442245781774,163125.45571847988
7,2016-01-04,2171506.66666667,1922450.1145396105,69260.33241234707,15046.57291102484,175526.17723558846,110535.69897744496,17084.342668827583,240585.03949757255,53702.676660609766,5773.41205956259,159824.91035409836,83314.30616009564,18314.406924049184,169378.88311052872,38613.60892941032,3180.9051665012944,165109.03675170467
8,2016-01-11,2464131.66666667,2010990.0835601497,47102.64163747549,7970.380612000919,140756.22557757836,78129.88764813112,5794.6677092732325,204963.44548930274,122527.92330973811,25809.280685304417,240113.9167479448,87368.72971325525,19924.839483273758,176742.39108416656,42370.533304638826,3666.239753195409,172434.3334877587
9,2016-01-18,2012520.0,1824675.3453667318,8786.78945237221,396.3870541752908,55446.58466789494,51018.645267392276,1036.1895890929957,175550.44557781285,43918.40529298877,3836.2385121096263,153515.66366754475,83591.38624490343,18105.43577747092,172018.3978030577,35696.548488271714,2690.647597233821,165999.24112094886
10,2016-01-25,1738911.66666667,1543773.396500134,1551.457074895508,15.963050782342892,22357.26206569467,31555.79921644231,162.61149659320677,149976.4948846445,82000.9343781858,17546.262476761145,173817.37958207357,75779.31712837113,15690.885342679534,160958.76113849113,33508.683703222254,2438.620056261638,162919.64062031262
11,2016-02-01,1772306.66666667,1515697.5211637404,139798.93363894458,50168.21940856935,256253.3598466464,52678.2821520656,3366.9867993543367,163956.02976703199,24395.53866423652,1003.443795590508,127513.41659643466,26683.142832635393,1356.258645444485,102557.80645197799,30512.867362445948,2072.5533216911576,157661.11128481978
